CA_code,VA_code,estimate,ASE,flag
C02C,V18E,6.4,2.3,*
C02D,V18E,9.4,3.6,*
C02A,V19A,19,4.5,
C02B,V19A,28.6,2.9,
C02C,V19A,34.1,3.3,
C02D,V19A,34.9,4.4,
C02A,V19B,47.4,15.5,*
C02B,V19B,40,7,
C02C,V19B,41.9,6.7,
C02D,V19B,36,6.2,
C02A,V19C,16.8,11.2,**
C02B,V19C,15.7,5.5,*
C02C,V19C,17.6,5.3,
C02D,V19C,14.9,5.7,*
C02A,V19D,19.8,11.6,**
C02B,V19D,25.2,5.6,
C02C,V19D,23.6,5.9,
C02D,V19D,28.9,6.1,
C02A,V19E,16,9.1,**
C02B,V19E,19.1,5.6,
C02C,V19E,16.9,4.5,
C02D,V19E,20.1,6.4,*
C02A,V20A,11.3,3.6,*
C02B,V20A,4.4,1.4,*
C02C,V20A,3.9,1.4,*
C02D,V20A,0.8,0.5,**
C02A,V20B,26,18.5,**
C02B,V20B,36.1,14.3,*
C02C,V20B,43.2,23.4,**
C02D,V20B,S,,
C02A,V20C,S,,
C02B,V20C,S,,
C02C,V20C,S,,
C02D,V20C,S,,
C02A,V20D,12.1,9.9,**
C02B,V20D,39.3,16.1,*
C02C,V20D,20.8,20.3,**
C02D,V20D,S,,
C02A,V20E,56.5,18,*
C02B,V20E,16.1,11.4,**
C02C,V20E,26.9,15.9,**
C02D,V20E,S,,
C02A,V21A,38.1,5.7,
C02B,V21A,29.1,3.3,
C02C,V21A,22.1,3.3,
C02D,V21A,13.6,2.7,
C02A,V21B,25.8,8.2,*
C02B,V21B,36.6,5.6,
C02C,V21B,27.7,7.6,
C02D,V21B,15.8,8.8,**
C02A,V21C,10.7,6.2,**
C02B,V21C,15.2,4.9,*
C02C,V21C,12.7,7.2,**
C02D,V21C,16.8,11.4,**
C02A,V21D,25.1,8.1,*
C02B,V21D,26.5,6.1,
C02C,V21D,25.6,7.2,
C02D,V21D,28.9,9.3,*
C02A,V21E,38.4,10.4,
C02B,V21E,21.7,5.2,
C02C,V21E,34,8.2,
C02D,V21E,38.4,10.3,
C02A,V22A,30,6.1,
C02B,V22A,23.8,3,
C02C,V22A,21.6,2.9,
C02D,V22A,14.9,3.5,
C02A,V22B,11.3,7.8,**
C02B,V22B,8.1,3.7,*
C02C,V22B,11.4,5.4,*
C02D,V22B,7.7,5.9,**
C02A,V22C,10.3,8.5,**
C02B,V22C,8.3,6,**
C02C,V22C,4.8,3.2,**
C02D,V22C,11.4,10.2,**
C02A,V22D,14.1,6.9,*
C02B,V22D,26.6,6.8,
C02C,V22D,18.2,6.6,*
C02D,V22D,23.8,8.4,*
C02A,V22E,64.4,10.1,
C02B,V22E,57,9.3,
C02C,V22E,65.6,7.7,
C02D,V22E,57.1,10.1,
C03A,V00T,15.5,0,
C03B,V00T,18.4,0,
C03C,V00T,15.9,0,
C03D,V00T,16,0,
C03E,V00T,15.1,0,
C03F,V00T,11.4,0,
C03G,V00T,7.6,0,
C03A,V01A,67.3,7,
C03B,V01A,73.1,5.4,
C03C,V01A,78.9,4.1,
C03D,V01A,89.3,3.3,
C03E,V01A,91.3,3.5,
C03F,V01A,94.8,2.6,
C03G,V01A,97.5,1.4,
C03A,V01B,32.7,7,
C03B,V01B,26.9,5.4,
C03C,V01B,21.1,4.1,
C03D,V01B,10.7,3.3,*
C03E,V01B,8.7,3.5,*
C03F,V01B,5.2,2.6,**
C03G,V01B,2.5,1.4,**
