,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
478,http://www.armslist.com/posts/5195478,For Sale/Trade:  Xds bitone 9mm 4.0,"S springfield, Springfield, Missouri",$ 490,"Listed On: Thursday, March 3, 2016",Handguns,no type,no type,no type,no type,Xds 4.0 9mm bi tone in great shape 50 RDS thru comes with all the goodies $490 or trade for handguns or handguns and cash
482,http://www.armslist.com/posts/5195482,For Sale:  Glock 42,"Derry, New Hampshire, United States",$ 400,"Listed On: Sunday, February 21, 2016",Handguns,Glock                                                                                ,380 ACP                                                                                ,Striker Fire                                                                                ,Pistol,Forsale I have a brandnew Unfired Glock 42. Comes with case and 3 Magazines. I bought the gun a few months back and have never fired the weapon. Only reason im selling is because I have the Glock 43 and no need for both. 2 mags have the finger exstension and one does not. Will include 50Rds of FMJ ammo and 25 Rds of Hornady critical defense.Buyer must have valid New Hampshire drivers License and Valid pistol permit. Asking 400$ or Trade for AR15 parts. Not interested in any shotguns period. Email any Questions please......
484,http://www.armslist.com/posts/5195484,Want To Buy:  Amer Arms  PK_22 clips,"Stockton, Sacramento, California",Offer,"Listed On: Sunday, February 21, 2016",Magazines,no type,no type,no type,no type,Looking to purchase magazines for PK-22 American Arms 8 Rds . Erma Ep452  8 Rd22 inchag or cx-22
485,http://www.armslist.com/posts/5195485,For Trade:  12 ga pump,"Sw, Springfield, Missouri",Offer,"Listed On: Sunday, February 21, 2016",Shotguns,no type,no type,no type,no type,"maverick 88 12 gauge 18"" defense barrel cyclinder bore. 28"" accuchoke barrel with full and improved cyclinder chokes. Twin action bars, dual extractors, good condition. Sale $250trade 300 win mag, 308, hunting stuff, will add cash for a decent rifle.includes pistol grip forgot to put in picture."
489,http://www.armslist.com/posts/5195489,For Sale:  Romanian 3 Dragunov 762x54r,"SC, South Carolina, United States","$ 1,300","Listed On: Sunday, February 21, 2016",Rifles,no type,no type,no type,no type,"This rifle comes with (1) 5 round magazine and (1) 10 round magazine,includes 2 Russian scopes (1) 4x24 with working lit reticle and (1) 8x42 with working lit reticle. The 4x scope has original Russian pouch with the Soviet Union star buttons. Overall this Romak-3 is in good condition."
490,http://www.armslist.com/posts/5195490,For Sale/Trade:  EoTech G33,"Webster/League City, Houston, Texas",$ 400,"Listed On: Sunday, February 21, 2016",Rifles,no type,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"I have a brand new in box EoTech G33 3x magnifier up for sale or trade. Will sell for $400. Trade value is $500. The XPS 2.0 has been sold, only have the magnifier left."
491,http://www.armslist.com/posts/5195491,"Want To Buy:  WTB/WTT for S&W 500, m&p R8, BFR 45-70,Raging Judge Magnum","Castle Rock/Englewood, Colorado, United States",Offer,"Listed On: Tuesday, March 22, 2016",Handguns,Smith & Wesson                                                                                ,500 S&W                                                                                ,Double / Single Action                                                                                ,Revolver,"I am looking for a S&w 500, would like a 4"" or one with multiple barrels, but really looking for any 500. also a m&p r8 and a BFR 45-70, Taurus raging judge magnum. i have fire arm trades to offer."
493,http://www.armslist.com/posts/5195493,For Sale:  Beretta cx4 storm 9mm,"Greenville, Dayton, Ohio",$ 900,"Listed On: Sunday, February 21, 2016",Rifles,Beretta USA                                                                                ,9mm Luger (9x19)                                                                                ,Semi-automatic                                                                                ,Rifle,Nice cx4 storm carbine beretta 9mm. Have all original case cleaning kit and paperwork. Several mags as well. REDACTED
495,http://www.armslist.com/posts/5195495,For Sale:  Taurus 85 .38 special,"NE heights, Albuquerque, New Mexico",$ 300,"Listed On: Sunday, February 21, 2016",Handguns,Taurus                                                                                ,38 S&W                                                                                ,Double Action                                                                                ,Revolver,Nice clean gun. Only shot a couple times. 300 cash. Text @ 234-2907.
497,http://www.armslist.com/posts/5195497,For Sale/Trade:  Ruger Super Blackhawk so with scope,"South Appleton, Appleton, Wisconsin",$ 650,"Listed On: Monday, April 4, 2016",Handguns,Ruger                                                                                ,44 Magnum                                                                                ,Single Action                                                                                ,Revolver,"I  have a Ruger Super Blackhawk for sale or trade.  It has a custom cut barrel to 7""and a weaver scope.    Send offers for trade with pics plz.  .  Thanks"
498,http://www.armslist.com/posts/5195498,For Sale:  Hogue Overmolded Remington 700 BDL Stock (Used),"Springfield, Northern Virginia, Virginia",$ 85,"Listed On: Monday, November 14, 2016",Gun,no type,no type,no type,no type,Hogue Rubber OverMolded Rifle Stock Remington 700 BDL Short Action Factory Barrel Channel Pillar Bed Synthetic BlackUsed - Slight scuffing.  No major damage. Taken off a Factory Remington 700 SPS .308.
499,http://www.armslist.com/posts/5195499,Want To Buy:  Ruger 1911,"St Charles, St. Louis, Missouri",Offer,"Listed On: Sunday, March 6, 2016",Handguns,Ruger,no type,no type,no type,"Cash in hand or Trade my GLOCK 19 with Factory threaded barrel,  only 3 mags fired for a Ruger commander 1911.Text or call anytime. 6three6 73four 56five3"
500,http://www.armslist.com/posts/5195500,For Sale:  Sig Sauer P229 DAK,"Fremont, Seattle, Washington",$ 600,"Listed On: Sunday, February 21, 2016",Handguns,Sig Sauer                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,.40 CalExcellent condition.3 magazines.Sits in my safe and never gets fired.Email me with interest and I'll send of pictures if you want them.
501,http://www.armslist.com/posts/5195501,For Sale:  Glock 23 Gen 4  FDE,"Yukon, Oklahoma City, Oklahoma",$ 440,"Listed On: Sunday, February 21, 2016",Handguns,Glock                                                                                ,40 cal                                                                                ,Striker Fire                                                                                ,Pistol,Flat Dark Earth Glock 23 Gen 4. 1-13rd mag 1-13rd mag with +2 extension. Excellent shape as is $450
502,http://www.armslist.com/posts/5195502,For Sale:  Mossberg 16ga shotgun,"Bethel/Mt. Orab, Cincinnati, Ohio",$ 200,"Listed On: Sunday, February 21, 2016",Shotguns,Mossberg                                                                                ,16 Gauge                                                                                ,Bolt Action                                                                                ,Shotgun,Mossberg Model 190 16 gauge bolt action3 round clipadjustable chokepretty good shape$200Call Greg REDACTED or text
503,http://www.armslist.com/posts/5195503,Want To Buy:  WTB 22 Rifle,"Downtown, St. Louis, Missouri",$ 150,"Listed On: Sunday, February 21, 2016",Rifles,no type,22 Long Rifle                                                                                ,no type,Rifle,"Looking to buy a nice 22LR rifle. Bolt action or Semi. Savage, Remington, Marlin etc. $150 or less. Thanks!"
504,http://www.armslist.com/posts/5195504,For Sale:  S&W 640,"Bremerton, Washington, United States",$ 450,"Listed On: Sunday, February 21, 2016",Handguns,Smith & Wesson                                                                                ,38 S&W Special                                                                                ,Double Action                                                                                ,Revolver,S&W model 640 .38 special
506,http://www.armslist.com/posts/5195506,For Sale:  Sightmark Tactical Magnifier 30mm Tube 3x with Slide to Side Quick Detachable Weaver-Style Mount Matte,"Springfield, Northern Virginia, Virginia",$ 70,"Listed On: Sunday, February 21, 2016",Optics,no type,no type,no type,no type,Sightmark Tactical Magnifier 30mm Tube 3x with Slide to Side Quick Detachable Weaver-Style Mount Matte. Mounted on a Carbine but never used. No Packaging.
507,http://www.armslist.com/posts/5195507,For Trade:  Smith & wesson SD9VE,"sparks, Reno, Nevada",Offer,"Listed On: Sunday, February 21, 2016",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,looking to trade my SD9VE with inside wasit band galco holster for a sd40ve or a glock let me know what you have for trade open to offers and only looking to trade for handguns only NO REVOLVERS
508,http://www.armslist.com/posts/5195508,"For Sale:  Marlin 60SS - Stainless barrel, Laminate stock","north Fargo, Fargo, North Dakota",$ 220,"Listed On: Sunday, February 21, 2016",Rifles,Marlin                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"Hardly shot. Excellent firearm. Has a 14 round tube feed capacity. 19"" stainless steel barrel. High visibility hooded front sight."
512,http://www.armslist.com/posts/5195512,For Sale:  Set of Troy BUS,"Springfield, Northern Virginia, Virginia",$ 140,"Listed On: Sunday, February 21, 2016",Optics,no type,no type,no type,no type,"1 Set of Troy Backup Sights. Rear sight has a Diamond Shaped apeture. Mounted on a Carbine, but never run. May have some loctite residue."
513,http://www.armslist.com/posts/5195513,For Sale:  Glock 19 Gen 3 with Glock MH3 (Meprolight) Night Sites,"north Fargo, Fargo, North Dakota",$ 525,"Listed On: Sunday, February 21, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Manufactured in 2006.2 - 15rd magazines. Speedloader. All factory items included--manual, shot cartridge, brush, etc. Not many rounds though it. Little wear on parts."
514,http://www.armslist.com/posts/5195514,For Sale:  Charter Arms 38 Revolver,"Los Angeles/ Santa Barbara, Los Angeles, California",$ 200,"Listed On: Sunday, February 21, 2016",Handguns,Charter Arms                                                                                ,38 S&W                                                                                ,no type,Revolver,"Charter Arms 38 Revolver. Looking for someone with an FFL. Good condition, I bought it recently at a gun store/pawn shop in Utah. I have shot it a few times and it shoots like a dream, never had a malfunction or a jam of any kind. It is a great gun and in my opinion one of the most reliable you can buy for the price. I used to carry it as my primary concealed carry. The only reason I'm willing to part with it is because I want to put the money towards another gun."
516,http://www.armslist.com/posts/5195516,For Sale:  Sig 1911  45acp,"SC, South Carolina, United States",$ 850,"Listed On: Sunday, February 21, 2016",Handguns,no type,no type,no type,no type,"Features: 5"" barrel, Black Nitron Finish, Night Sights, 2-8rd mags, , POW-MIA rubber grips, Skeletonized Hammer/Trigger, Thumb & grip safety, lockable carrying case & weighs 41.6oz."
517,http://www.armslist.com/posts/5195517,For Trade:  20g sawed off,"pennhills, Pittsburgh, Pennsylvania",Offer,"Listed On: Sunday, February 21, 2016",Shotguns,no type,20 Gauge                                                                                ,Break Open                                                                                ,Shotgun,I have a 20g F.I.F corps shotgun the stock has been cut down. overall length is 19inches its in nice condition made in brazil 20g 2 3/4looking to trade i am open to just about anything.
518,http://www.armslist.com/posts/5195518,For Sale:  Firefield  8-32x50mm (Used),"Springfield, Northern Virginia, Virginia",$ 50,"Listed On: Friday, August 26, 2016",Optics,no type,no type,no type,no type,Firefield 8-32x50mm (Used) The scope itself is in excellent condition. This was taken on only one hunting trip. No lens caps included - they were lost in the woods.
519,http://www.armslist.com/posts/5195519,"Want To Buy:  7.62x39,45 ammo,ak parts","sherwood, Oregon, United States",Offer,"Listed On: Sunday, February 21, 2016",Ammo,no type,no type,no type,no type,brass or steel case. Yugo brass case etc soft point or hornady HD ammo. will buy locally. AK parts or other things as well.
520,http://www.armslist.com/posts/5195520,For Sale:  Browning Superposed Lightning 12GA,"SC, South Carolina, United States","$ 2,000","Listed On: Sunday, February 21, 2016",Shotguns,no type,no type,no type,no type,"Browning Superosed 12 gauge with set of Briley fitted tubes 20g, 28g, .410g. Choked Skeet and Skeet. Excellent shape. mid bead. Short tang. Comes with fitted case and removal tools. Original soft Browning recoil pad."
522,http://www.armslist.com/posts/5195522,For Sale:  LMT AR-15,"Tacoma, Tacoma, Washington","$ 1,200","Listed On: Thursday, July 14, 2016",Rifles,LMT                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Full Lewis Machine & Tool AR-15 aka defender 2000. Full rifle was made and assembled by LMT, not just the lower, how most people have it.$1200 just for the rifle and 1 mag. If you want rest of the stuff that's pictured, contact me and we can discuss the price.Contact me for more picture"
523,http://www.armslist.com/posts/5195523,For Sale:  Glock 19 (9mm compact) Gen 3 with Glock Night Sights,"north Fargo, Fargo, North Dakota",$ 500,"Listed On: Sunday, February 21, 2016",Handguns,Glock                                                                                ,no type,Striker Fire                                                                                ,Pistol,"Excellent for CCW.  2 - 15rd magazines. All factory items included--manual, speedloader shot cartridge, brush, etc."
524,http://www.armslist.com/posts/5195524,For Trade:  S&W sd40ve,"pittsburgh, Pittsburgh, Pennsylvania",Offer,"Listed On: Sunday, February 21, 2016",Handguns,Smith & Wesson                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,Smith & Wesson SD40VE .40Has two 14rd magsOnly seen around 300rdsTrades only. Im open to anything just wanna update the collection. Please send pictures.
526,http://www.armslist.com/posts/5195526,For Trade:  Unlocked Samsung Galaxy S6 Edge,"Jax Bch, Jacksonville, Florida",Offer,"Listed On: Sunday, February 21, 2016",Miscellaneous,no type,no type,no type,no type,"Samsung Galaxy S6 Edge - Unlocked and clean ESN (you can check IMEI yourself for free on Swappa). Will work with any carrier. In AAA+ pristine condition. No scratches, dings, chips or dents.Comes with unused headphones/mic, charger and Incipio NGP case."
527,http://www.armslist.com/posts/5195527,Want To Buy:  Air gun,"North, Indianapolis, Indiana",$ 60,"Listed On: Friday, February 26, 2016",Rifles,no type,no type,Bolt Action                                                                                ,Rifle,What i am looking for is a benjamin Sheridan 397 or a 392. For a resonable price. I am looking for a used one in decent shape. I can redo the stock if someone has one that has a rough stock ( for a fair price of course  ) I know.... Why shoot an air gun when you can shoot a real rifle that takes shells? Well I live in town and ....REDACTED
528,http://www.armslist.com/posts/5195528,For Trade:  Eastern Bmx Bike,"pennhills, Pittsburgh, Pennsylvania",Offer,"Listed On: Sunday, February 21, 2016",Miscellaneous,no type,no type,no type,no type,Eastern bmx bike. New Odyssey brake kit. New Odyssey chase hawk tires (red pin stripe is reflective). Vans grips and brand new Stolen rear rim. Also got two older but good tires as well.I value the bike around $300I would like to trade for a shotgun or Lever action rifle Please send pics with offer. thankyou
529,http://www.armslist.com/posts/5195529,For Sale/Trade:  Nikon M223 Rifle scope,"SW, Albuquerque, New Mexico",$ 300,"Listed On: Sunday, February 21, 2016",Optics,no type,no type,no type,no type,"Nikon M-223 1-4x20mm Riflescope, Matte BDC 600 Reticle w/ Interchangeable Turret 16301Reticle Type: BDC/BallisticTube Diameter: 1 inFinish: MatteReticle: BDC 600"
531,http://www.armslist.com/posts/5195531,For Sale/Trade:  Smith and Wesson full size M&P,"West side of Indianapolis, Indianapolis, Indiana",$ 0,"Listed On: Sunday, February 21, 2016",Handguns,Smith & Wesson                                                                                ,40 cal                                                                                ,Striker Fire                                                                                ,Pistol,This is a full sized M&P Smith and Wesson in 40 caliber comes with two 15 round magazines. Fobus retention holster. 30 rounds of 40 caliber target ammo. Box lock and paperwork. Gun functions great and has only had 20 rounds through it. $500 or best offer.trades welcome text REDACTED.  Thanks for looking
534,http://www.armslist.com/posts/5195534,For Sale:  Browning Citori Lightening Grade VI,"Colorado, Colorado, United States","$ 2,400","Listed On: Sunday, February 21, 2016",Shotguns,no type,no type,no type,no type,Browning Invector choke tubes Chambered for 3 inch shot shells and uses. Scroll I graced blued steel frame with 7 gold inlays and gold plated single trigger. Deluxe checkered walnut round knob pistol grip stock and Lightening style forearm. Browning Ventilated recoil pad.
535,http://www.armslist.com/posts/5195535,For Sale:  .40 cal xdm,"Dayton, Portland, Oregon",$ 800,"Listed On: Friday, March 25, 2016",Handguns,Springfield                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,"Brand new never fired Springfield 40cal xdm 4.5 kit (holster, 2 slot clip holder, 2 clips, 2 different size grips, speed loader & lock) 2 extra 16rd. Clip, 1 extra 2 slot clip holder, , 2 boxes of 100 ct each Remington FMJ, a box of 20 ct federal hydra-shock jhp, Springfield range bag,TRUGLO MICRO-tac LASER GREEN SIGHT more photos upon request all worth $1000 asking $800 or trade prefer a 1911 .45 cal"
538,http://www.armslist.com/posts/5195538,Want To Buy:  gp100 gp100,"springfield, Springfield, Missouri",$ 500,"Listed On: Wednesday, March 9, 2016",Handguns,Ruger                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,Looking for a stubby in 357.text me a pic and price thanks 689-0203
540,http://www.armslist.com/posts/5195540,For Sale:   Desert Eagle 50AE  Gold Tiger Stripe,"Tacoma, Tacoma, Washington","$ 2,000","Listed On: Sunday, February 21, 2016",Handguns,Magnum Research                                                                                ,50 Action Express                                                                                ,Double / Single Action                                                                                ,Pistol,like new only 10 rounds with Ammo shelf King needs a new home Two 067181177 Tony
541,http://www.armslist.com/posts/5195541,For Sale/Trade:  NEW WITH TAGS COLUMBIA SPORTSWEAR WADER WIDGEON PARKA - TIMBERWOLF CAMO - SIZE MEDIUM,"Sherwood, OR, Portland, Oregon",$ 100,"Listed On: Saturday, April 9, 2016",Hunting,no type,no type,no type,no type,"New with tags Columbia Sportswear Wader Widgeon Parka in Timberwolf camo. Size Medium. Omni-Tech waterproof, breathable & seam sealed. Omni-Heat thermal reflective insulated. This is the parka (not the jacket) so it comes with both the outer shell and the zip out liner as pictured. I have three of these available, all size Medium. $350 retail, selling for $100 each or trade for .308, 5.56 or 9mm. Call or text Jesse @ REDACTED. Willing to ship, can accept credit cards. Thanks!"
542,http://www.armslist.com/posts/5195542,For Sale:  Taurus acp 380 semi auto with ammo,"37604, Tri-cities, Tennessee",FREE,"Listed On: Sunday, February 21, 2016",Handguns,Taurus                                                                                ,380 ACP                                                                                ,Striker Fire                                                                                ,Pistol,380 Taurus only fired fourteen times two boxes of ammo with it 200 dollar's not negotiation on the price go buy a new one REDACTED
543,http://www.armslist.com/posts/5195543,For Sale:  1911 titanium/carbon fiber match trigger,"milwaukie, Portland, Oregon",$ 25,"Listed On: Monday, March 28, 2016",Gun,no type,no type,no type,no type,chip mccormick titanium/carbin fiber match trigger never bin used
544,http://www.armslist.com/posts/5195544,Want To Buy:  Shotgun,"Davison, Flint, Michigan",Offer,"Listed On: Sunday, February 21, 2016",Shotguns,no type,no type,no type,no type,"Looking for a Remington 870 or Mossberg 500 12ga. Nothing fancy, need for a project"
548,http://www.armslist.com/posts/5195548,For Sale:  1911 grip safety,"milwaukie, Portland, Oregon",$ 30,"Listed On: Sunday, February 21, 2016",Gun,no type,no type,no type,no type,1911-1911a1
553,http://www.armslist.com/posts/5195553,For Sale:  300 BK  Custom,"Tacoma, Tacoma, Washington","$ 1,850","Listed On: Sunday, February 21, 2016",Handguns,no type,300 Winchester Short Magnum                                                                                ,Bolt Action                                                                                ,Pistol,Everything about this BK is custom all the way down to the skeleton trigger. Also come with EOTech 300 blackout glass.Two 067181177 Tony.
555,http://www.armslist.com/posts/5195555,For Sale:  80 Rounds Hornady 300 Win Mag  180 gr SST,"North, Colorado Springs, Colorado",$ 120,"Listed On: Sunday, February 21, 2016",Ammo,no type,no type,no type,no type,"80 rounds left of Hornady 300 Win Mag 180 gr SST for saleTraded rifle to a LGS, and now selling the ammoOriginally sold for $34.99 a box, and now typically goes for a few dollars moreYOUR PRICE: $30 for a 20 round box (2 box minimum), or $120 buys it all!Don't wait until hunting season to try and stock up, get it now and save! Cash only"
556,http://www.armslist.com/posts/5195556,For Sale:  1911mag guide,"milwaukie, Portland, Oregon",$ 20,"Listed On: Sunday, February 21, 2016",Gun,no type,no type,no type,no type,new
557,http://www.armslist.com/posts/5195557,For Sale:  1911  trigger,"milwaukie, Portland, Oregon",$ 20,"Listed On: Monday, March 28, 2016",Gun,no type,no type,no type,no type,new
558,http://www.armslist.com/posts/5195558,Want To Buy:  S&W 442,"Garrettsville, Cleveland, Ohio",$ 400,"Listed On: Sunday, February 21, 2016",Handguns,Smith & Wesson                                                                                ,38 S&W Special                                                                                ,Double Action                                                                                ,Revolver,Want to buy S&w 442 airweight  I have Ohio CHL.
561,http://www.armslist.com/posts/5195561,For Sale:  Badger Ordnance 30mm Rings Model: 306-08 (M24 SWS),"NE, Bend, Oregon",$ 105,"Listed On: Sunday, February 21, 2016",Optics,no type,no type,no type,no type,"For sale is a set of used Badger Ordnance rings, diameter 30mm, made of ordnance steel. Model# 306-08Retail $168Macthed serialized pair.This is the correct scope ring for the Army's M24 Sniper Weapon System. Condition is good overall. Torx screws are in excellent condition. Rings have been spray painted, but 99% removed.
Will ship for an extra $5 via USPS Priority Mail"
562,http://www.armslist.com/posts/5195562,For Sale:  Ruger 22,"Brandon, Tampa/St. Pete, Florida",$ 300,"Listed On: Sunday, February 21, 2016",Handguns,Ruger                                                                                ,22 Long Rifle                                                                                ,Double / Single Action                                                                                ,Pistol,"Brand new with 2 clips, ammo and carrying case.  Bought for my wife and she changed her mind.  Fired once.  813-613-two 2 seven 8"
563,http://www.armslist.com/posts/5195563,For Sale:  S&W MP15 MOE mid,"North Spokane, Spokane, Washington","$ 1,050","Listed On: Sunday, February 21, 2016",Rifles,Smith & Wesson                                                                                ,5.56×45mm NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Selling my M&P 15 MOE Magpul series. All paperwork, Magpul videos (unopened), orig. box. Will throw in three (3) 30 rounds Magpul PMAGs Gen M3, unopened. AND 200 rounds of .223REM 55g FMJ Federal American Eagle. Fired 30 rounds through the weapon. Excellent condition. I'm moving out of town, trying to sell a lot of personal property to make the move easier, so, I'm not looking for trades, sorry.Located in North Spokane. $1,050 OBO.Details:SKU:811053Model: M&P15 MOE MidCaliber: 5.56 mm NATOCapacity: 30 Rounds Detachable MagazineAction: Semi-AutoBarrel Length: 16” / 40.6 cmBarrel Twist: 1 in 8” 5R RiflingFront Sight: M4 A2 PostRear Sight: Folding Magpul® MBUSOverall Length: 37” Extended / 33.75” CollapsedStock: Magpul® MOEWeight: 6.54 lbs. / 2,966.5 gBarrel Material: 4150 CMVBarrel Finish: Durable, Corrosion Resistant Barrel FinishReceiver Material: 7075 T6 AluminumReceiver Finish: Hard Coat Black AnodizedPolymer Component Finish: BlackChromed Components: Gas KeyBolt CarrierFeatures & Benefits Mid-Length Gas System - Results in lower recoil and better accuracy providing higher 2nd shot hit probabilityOfficial Smith & Wesson/Magpul® Co-Branded, Forged Lower Design - Similar Characteristics to the Original Billet Design - Flared Magwell for Improved Magazine Insertion - Forward Serrated Edge of Magwell for Increased Weapon Control - Integrated Trigger Guard Design for improved ergonomics and use with a gloved finger without having to manipulate the trigger guard out of the way prior to usage - Finger shelf for increased ergonomic indexing of trigger finger, located on both sides for right and left handed shooting - Sharp design lines adding to the aesthetics of the lower receiverThe Art of Tactical Carbine Volume I & II DVDs from Magpul Dynamics - Live fire class instruction - Basic fundamentals to dynamic stress situations - Shows real students and advanced shooters from industry, Law Enforcement and MilitaryPatent-Pending, Smith & Wesson Enhanced Flash Hider - Reduces flash signature significantly - Directs gases and sound forward and away from the shooters - Eliminates secondary flash/streakChromed-Lined Bolt Carrier and Gas KeyMagpul® MVG (Vertical Grip)Magpul® MOE GripMagpul® MOE ButtstockMagpul® MOE Handguard30 Round PMAG® MagazineFolding Magpul® Rear Sight MBUSM4 - A2 Post Front Sight"
564,http://www.armslist.com/posts/5195564,For Sale:  Mec 600jr 12ga + more,"Aurora, Chicago, Illinois",$ 60,"Listed On: Sunday, February 21, 2016",Reloading,no type,no type,no type,no type,"I have a MEC 600jr reloading press for sale. This is an early model with all metal dies (NO PLASTIC). These things are built like tanks and will last a lifetime. Includes a 1-1/8oz shot charge bar, a MEC EZ Pack shell stacker and 200+ Winchester AA 12ga hulls. I am located on the West side of Aurora. The best time to view is 9am - 1pm daily or anytime on the weekend.  Thanks"
565,http://www.armslist.com/posts/5195565,For Sale/Trade:  AR Pistol 7.62x39,"Eugene, Eugene, Oregon",$ 850,"Listed On: Saturday, February 27, 2016",Rifles,Spikes Tactical                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"I have an AR pistol for trade with less than 80 rounds fired through it!  I am looking for: upgraded/ competition handgun (more specifically something like a Glock with an upgraded trigger, RMR cut (MOS), stippling, and upgraded barrel).This is an AR-15 chambered in the AK-47 round 7.62x39 with a 7"" barrel and sig brace ao it is legally a pistol. It accepts AR-15 mags like in the picture but I purchased high-end ""AR-47"" magazines that function better for this configuration. The gun will come with 4 (2 new unopened) magazines (I spend over $160 on).the lower: is a Punisher edition spikes tactical lower I built with a sig brace. It has a Magpul: BAD lever, pistol grip, and trigger guard. It has a standard trigger but for the picture I installed my CMC 3.5lbs single-stage flat trigger for looks. Also, I can throw it in with the right deal! The lower has ""full auto"" engraved just for show. The upper: barrel and upper parts built/bought from palmetto state with a 7"" nitride barrel. The keymod is 5.5"" made by Odin Works. I have generic standard flip-up iron sights (not seen in picture). The BCG is a standard AR-15 BCG with an extended firing pin for hitting the larger 30 cal primers. You can pop if in any AR-15 and use it! If you have any questions let me know! It is registered as a pistol!"
567,http://www.armslist.com/posts/5195567,"For Sale:  Badger Ordnance 30mm Rings, Model 306-08, M24 SWS","NE, Bend, Oregon",$ 105,"Listed On: Sunday, February 21, 2016",Optics,no type,no type,no type,no type,"For sale are a set of used Badger Ordnance scope rings, model 306-08, size 30mm. These are the correct rings for the Army's M24 Sniper Weapon System. Made from ordnance steel, and serialized as a matched set.Retail: $168Rings are in good condition, and have 99% of previous spray paint removed.
Will ship for +$5 via USPS Priority mail with tracking"
568,http://www.armslist.com/posts/5195568,For Sale:  .380 police issue Russian bear arms,"Brandon, Tampa/St. Pete, Florida",$ 350,"Listed On: Sunday, February 21, 2016",Handguns,Charter Arms                                                                                ,380 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,.380 Russian bear arms handgun with 2 clips.  Text or call  813-613-two 2 7 eight
571,http://www.armslist.com/posts/5195571,For Sale:  S&W 500,"North Spokane, Spokane, Washington",$ 995,"Listed On: Sunday, February 21, 2016",Handguns,Smith & Wesson                                                                                ,500 S&W                                                                                ,Double / Single Action                                                                                ,Revolver,"Selling my S&W 500. All paper workOrig. CaseIncluding 12 rds of ammo, some 500grain and some 350 grain. And, 35 once fired brassAwesome,Powerful revolver8.38"" barrel length.Located in North SpokaneNot interested in trades,sorry.$995 OBODetails:SKU:163500Model: S&W500™Caliber: .500 S&W Magnum®Capacity: 5 RoundsBarrel Length: 8.38"" / 21.3 cmFront Sight: InterchangeableRear Sight: AdjustableGrip: SyntheticAction: Single/Double ActionFrame: Extra LargeFrame Size: Extra Large - Exposed HammerFinish: Satin StainlessOverall Length: 15"" / 38.1 cmMaterial: Stainless Steel FrameStainless Steel CylinderWeight Empty: 71.9 oz / 2,034.4 g"
572,http://www.armslist.com/posts/5195572,For Sale:  Crossbreed Appendix Holster for Glock 43,"SE, Portland, Oregon",$ 50,"Listed On: Sunday, February 21, 2016",Holsters,no type,no type,no type,no type,I brand new Crossbreed Appendix Holster for the Glock 43. Never used only tried on. Original/ new purchase price is 62.50. Selling for 50.00.
573,http://www.armslist.com/posts/5195573,For Sale:  Rossi .38,"Brandon, Tampa/St. Pete, Florida",$ 350,"Listed On: Sunday, February 21, 2016",Handguns,Rossi-Braztech                                                                                ,38 Short                                                                                ,Double / Single Action                                                                                ,Revolver,Rossi .38 revolver with ammo.  Great condition.   Text or call 813-613-two 2 78
575,http://www.armslist.com/posts/5195575,Want To Buy:  Pistol,"Dallas, Dallas, Texas","$ 1,000","Listed On: Sunday, February 21, 2016",Handguns,no type,no type,no type,Pistol,Contact me anytime about anything
577,http://www.armslist.com/posts/5195577,For Sale/Trade:  Springfield XD Sub-Compact,"Lake County, Indiana, United States",$ 400,"Listed On: Sunday, February 21, 2016",Handguns,Springfield                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Like New In Box Duo Tone XD 40. 3 magazines,  1 flush,  1 extended with spacer,  1 with extended baseplate will fit 15 rounds. Comes with box,  manual, dual Mag holder,  holster and speed loader. It's the silver and black duo tone model. Call or text for pics,  REDACTED..."
579,http://www.armslist.com/posts/5195579,For Sale/Trade:  M4 magpull,"Warsaw, Northern Kentucky, Kentucky",$ 800,"Listed On: Thursday, March 10, 2016",Rifles,no type,223/5.56 NATO                                                                                ,Semi-automatic,no type,Anderson ar 15 multi cal 223 or 5.56 multi cal with magpull everything this is new only test fired
