,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
203,http://www.armslist.com/posts/5195203,For Sale:  ammo for sale,"Wilmington, Wilmington, North Carolina",$ 150,"Listed On: Saturday, February 20, 2016",Ammo,no type,no type,no type,no type,"(9mm: 32 rounds. 12 federal aluminum 115gr, 20 Sig sauer hollow point v crown 124gr). ( .223: 40 rounds tulammo 55gr) (.45: 50 rounds sport shooting 230gr) (100 rounds: federal buckshots) (110 rounds: 5.56x45 federal) (625 rounds: 250 Winchester super x long rifle, 325 federal long rifle, 50 Arms or hollow point long)"
204,http://www.armslist.com/posts/5195204,For Sale:  Iver Johnson .32,"NH, Portsmouth, New Hampshire",$ 1,"Listed On: Saturday, February 20, 2016",Handguns,Iver Johnson Arms                                                                                ,no type,Double / Single Action                                                                                ,Revolver,IN VERY GOOD CONDITION.  TRADE FOR .22 PISTOL
208,http://www.armslist.com/posts/5195208,"For Sale:  CZ 75 BD ""Police"" (9mm)","Southside, Indianapolis, Indiana",$ 540,"Listed On: Thursday, March 10, 2016",Handguns,CZ USA                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"This is a ""gently"" used CZ 75 BD ""Police"" in 9mm.  Great shooting gun and one of several CZ's that I own.  Cash Only!"
209,http://www.armslist.com/posts/5195209,For Sale:  1911  .45 ACP Commander Size,"Briargate, Colorado Springs, Colorado",$ 600,"Listed On: Saturday, April 2, 2016",Handguns,Magnum Research                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"MAGNUM RESEARCH DESERT EAGLE 1911 C COMMANDERThis gun has a very nice polished bluing. Only out to the range once. It is in ""as new"" condition.This is a very nice gun for well under what you might pay for a Colt or a Kimber.CCW - Commander length is a great choice.Those who choose a 1911 for Conceled Carry often choose the 4"" barrel for just a little more ease of carry.Buyer pays FFL transferAt this time I am not interested in trades.The gun is ""as new"" having only been out to the range once."
211,http://www.armslist.com/posts/5195211,For Sale:  Beretta Px4 full size 45,"N Seattle, Seattle, Washington",$ 390,"Listed On: Tuesday, April 26, 2016",Handguns,Beretta USA                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"There are easily less than 100 rounds through this. Bought it a while back thinking a rotating barrel was neat. I still think it's neat, but this thing has been sitting in my safe for most of it's life and it's probably time for a new owner. Basically new - bore is in great shape - Original case, lock, papers, small backstrap (if a medium was included, I have no idea where it is.), and the standard mag plus two extended mags. Looking at prices that these have actually sold for (minus the extra stuff), I'll say that 390 is a fair price. No trades, please. Will not ship.Text REDACTED anytime or email through here. Call between 6pm-10pm only please.Thanks for looking!"
212,http://www.armslist.com/posts/5195212,For Sale:  Sig Grips 229,"North, Colorado, United States",$ 25,"Listed On: Tuesday, May 17, 2016",Gun,no type,no type,no type,no type,Like new Sig grips for 229and 228.  $25obo
213,http://www.armslist.com/posts/5195213,For Sale:  16ga Stevens 311a double barrel,"denton, Dallas, Texas",$ 350,"Listed On: Saturday, February 20, 2016",Handguns,no type,no type,no type,no type,I have a Stevens 311a made by savage arms. It's a side by side double barrel with 2 triggers. It's is in good shape. I will trade for 40 cal pistol or maybe a 9mm...or just let me know what you have text REDACTED. Thank you.
215,http://www.armslist.com/posts/5195215,For Sale:  Lee Progressive with supplies,"Carson City, Reno, Nevada",$ 1,"Listed On: Friday, March 25, 2016",Reloading,no type,no type,no type,no type,"Lee Progressive 1000 press with stand, dies for .38/.357, .380, 9mm, 2000 primers, 500 lead bullets, a bunch of various brass, a can of Unique, vibratory tumbler, box of walnut shell, digital scale, and a digital micrometer. Best offer for all of it. Barely used."
216,http://www.armslist.com/posts/5195216,For Sale:  H&K 93 clone,"66503, Ft. Riley, Kansas",$ 800,"Listed On: Saturday, March 12, 2016",Rifles,Century International Arms                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Century arms c93 (h&k 93 clone)5 mags (4-30, 1-40)bayonet3-point slingscope rail"
218,http://www.armslist.com/posts/5195218,For Sale:  UTG A2 stock,"East, Montgomery, Alabama",$ 30,"Listed On: Saturday, February 20, 2016",Gun,no type,no type,no type,no type,Stock is in great condition I just don't need it anymore. Text REDACTED if interested.
219,http://www.armslist.com/posts/5195219,For Sale:  Gen 2 Glock 17 9mm,"N Seattle, Seattle, Washington",$ 350,"Listed On: Tuesday, April 26, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Gen 2 Glock 17, in original box with an extra mag. Shoots great.I'll let it go for 350. No trades, please. Will not ship.Text REDACTED anytime or email through here. Call between 6pm-10pm only please.Thanks for looking!"
221,http://www.armslist.com/posts/5195221,For Sale:  FnH FNS9,"Calera, Birmingham, Alabama",$ 500,"Listed On: Saturday, February 20, 2016",Handguns,FN Herstal S.A.                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,"FNS9 in great condition! Less than 50 rounds through it. Comes with 3 17 round mags. 2 interchangeable back straps. Original case,papers,lock."
222,http://www.armslist.com/posts/5195222,For Sale:  S&W M&P 40 compact,"Lexington, Columbia, South Carolina",$ 450,"Listed On: Saturday, February 20, 2016",Handguns,Smith & Wesson                                                                                ,no type,Striker Fire                                                                                ,Pistol,comes with three mags and back straps and hard case 450 obo
223,http://www.armslist.com/posts/5195223,For Sale:  Glock 22 Gen 3 with upgrades,"Cape coral, South West Florida, Florida",$ 499,"Listed On: Monday, February 29, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"I have for sale a Gen 3 Glock 22, it will come with one 15rnd magazine. The weapon has stainless steel pins, the barrel has a gold titanium nitride finish, troglo TFO sights, ghost extended slide release, ghost competition striker spring, lone wolf stainless guide rid, extended magazine release, and punisher skull back plate."
224,http://www.armslist.com/posts/5195224,For Sale/Trade:  Complete colt le6920 with extras,"El reno, West of okc, Oklahoma City, Oklahoma","$ 1,250","Listed On: Saturday, February 20, 2016",Rifles,Colt                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Complete colt le6920 with extras Factory colt upper, lower, lpk, bcg and barrel 16 inch barrel Standard m4 a3 configuration Like new condition, total of 40 rds fired Cleaned and well maintained Great rifle, just can't afford to keep right now. Comes with magpul stock, grip, trigger guard, magpul asap buffer tube sling plate, magpul rear sight, has YHM folding front sight base, 1 30 rd colt steel mag, utg pro drop in quad rail and a vortex sparc I red dot with box and everything. Basically, everything pictured is included I personally built this carbine as is, but again, can't afford to keep it right now and I also prefer just plane jane ar15s, I just like the classic look, and would like to trade for one plus cash. Asking 1250 obo Contact through listing or txt /call 405673009two Thnx in advance"
225,http://www.armslist.com/posts/5195225,For Sale:  TAURUS PT 24/7 FDE .45ACP,"New Holland, Columbus, Ohio",$ 475,"Listed On: Saturday, February 20, 2016",Handguns,Taurus                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,"Taurus PT 24/7 FDE. Hard to find fde in this model of .45 acp. Comes in original box with 2-12 rd mags, fde grip sleeve, keys, wrench, & manual. Pistol in mint condition. Must be legal and sign private bill of sale. $475"
228,http://www.armslist.com/posts/5195228,For Sale/Trade:  glock 27 with night sights,"Knoxville, Knoxville, Tennessee",$ 1,"Listed On: Saturday, February 20, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,Glock 27 has brand new night sights also has box papers and extended mag..Will trade on Glock Mid and full sz or 1911 also other handguns just offer. My gun is in perfect shape
229,http://www.armslist.com/posts/5195229,For Sale:  Diamondback DB9 w/extras,"Edmond, Oklahoma City, Oklahoma",$ 325,"Listed On: Saturday, February 20, 2016",Handguns,Diamondback Arms                                                                                ,no type,Double Action                                                                                ,Pistol,"Selling my Diamondback DB9 9mm  nickel side with Hogue grip sleeve and Pearce Pinky extension. This gun didn't come with a pinky extension and the one from Diamondback is pretty much worthless since it only adds a few millimeters. This pinky extension is for a Ruger LCP and works perfectly, making the gun much easier to control. Comes with original box and papers.No trades!Asking $325 OBO"
230,http://www.armslist.com/posts/5195230,For Sale/Trade:  BCM 14.5 AR,"Dayton, Dayton, Ohio",$ 850,"Listed On: Sunday, February 21, 2016",Handguns,Bravo Company USA                                                                                ,223/5.56 NATO,no type,no type,"I have a BCM 14.5in upper on a Smith&Wesson M&P15 lower with a geissele trigger and a Daniel defense lite quad rail. I'll include 4 mags 2 of which have ammo in them.  I'm asking $850 cash or I'll trade for a Glock 17/19 Gen4+ $250or some extras and cash.  REDACTED the upper alone is $1,050 when your purchase it through BCM with the BCG, charging handle and muzzle break. The trigger costs $250+tax off of their website, with everything invested it cost $1,500 roughly and I'm not expecting to get retail, that's why I listed it for $900 I cannot go down any further."
231,http://www.armslist.com/posts/5195231,For Sale:  Tikka T3 lite Magazines,"Castle Rock, Denver, Colorado",$ 40,"Listed On: Saturday, February 20, 2016",Magazines,no type,no type,no type,no type,"Tikka T3 Lite magazines 5 round capacity, short action .308, .243, 22-250. Like new condition. 2 available $40 ea"
232,http://www.armslist.com/posts/5195232,For Sale:  Trijicon RM06,"St. Louis, St. Louis, Missouri",$ 500,"Listed On: Sunday, March 20, 2016",Optics,no type,no type,no type,no type,I have a new RM06 (3.25) MOA that I realize I don't need since I have another already.
