title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Tiger,Peter Kraus,"Rock, Peter, Rock",0.524676799774,0.475323230028,0.434564113617,0.016218576580300000,0.0605485960841,0.0485175251961,0.127299427986,0.21849052608,0.0685945749283,0.025766665116,0.0904527977109,0.32896399498,0.231742918491,0.284391075373,0.0644492059946,0.959796369076,0.0402036234736,0.0103714996949,0.989628493786,0.906632483006,89.0660400391,spotify:track:0o0l5VDDVwX5AHut04R7Jq,2,11,15,18,20,0
Dont Forget,Inuit,Dont Forget Youre Here Forever,0.640743374825,0.359256625175,0.863751113415,0.00162296672352,0.00303621287458,0.0110384337604,0.0232681110501,0.0192003585398,0.069769307971,0.00831348262727,0.050188459456,0.030501205474100000,0.677583754063,0.08886786550280000,0.152858689427,0.108283624053,0.8917163610460000,0.138719394803,0.861280620098,0.493900924921,90.31363677980000,spotify:track:1hfVn92Qg2A46Y1nYQWarY,2,12,16,18,20,0
Where the Whippoorwill Is Whispering Good-Night,Charlie Poole & The North Carolina Ramblers,You Aint Talkin to Me: Charlie Poole and the Roots of Country Music,0.527520120144,0.472479850054,0.956650555134,0.000571535492782,0.00561480596662,0.0275886747986,0.0011127424659200000,0.00276787346229,0.000937558128498,0.00475627556443,0.0544630363584,0.221815675497,0.276704341173,0.310795158148,0.136221766472,0.8055629730220000,0.19443705678,0.6456107497220000,0.354389250278,0.854810655117,90.40586853030000,Not Found,2,13,15,17,20,0
Undecided,Sonny Stitt,"Stitts Bits: The Bebop Recordings, 1949-1952",0.595538556576,0.404461443424,0.333030164242,0.0133712626994,0.0278081465513,0.218156158924,0.166441679001,0.100023284554,0.0917213261127,0.0494479611516,0.124773256481,0.139993235469,0.101128607988,0.148049399257,0.486055493355,0.0162992961705,0.983700692654,0.855130851269,0.144869148731,0.905982553959,91.00729370120000,spotify:track:3O6qXz6ZBbxQhrgGCn9SgA,2,14,16,17,20,0
Worried and Lonesome Blues,Sonny Terry,"Complete Recorded Works in Chronological Order, Volume 2: 1944-1949",0.615606129169,0.384393870831,0.968343317509,0.00016083904483800000,0.00217808550224,0.00499101914465,0.0007146097486840000,0.0211479067802,0.000793660990894,0.00167054729536,0.08304153382780000,0.0479402057827,0.226766586304,0.033345248550200000,0.608906447887,0.938989460468,0.0610105246305,0.141830638051,0.85816937685,0.035812534391900000,91.3737945557,spotify:track:1Bi3aC5Y8QWYjH68JQsBYc,2,14,15,18,20,0
Youre Not a Reaver,David Newman,Serenity,0.999999880791,1.00000008274E-07,0.497280746698,0.00819795113057,0.0331644825637,0.399475216866,0.0156067842618,0.0366288758814,0.00433156918734,0.00531436502934,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.1538259238,0.8461740612980000,0.991514205933,0.00848577171564,0.006309352349490000,94.3348846436,spotify:track:6Bug4f4cSTv8cHp5JRfwe5,2,14,16,17,20,0
False Alarm,Yo La Tengo,Electr‐O‐Pura,0.999999880791,1.00000008274E-07,0.247350111604,0.0328383892775,0.0328821614385,0.16734868288,0.101423375309,0.136680677533,0.20622959733,0.0752470046282,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.810930550098,0.189069479704,0.983328640461,0.0166713669896,0.800478756428,94.5348815918,spotify:track:1oncTFDuBSOlbLkkHOsY9o,2,14,15,17,20,0
An Orchid for My Withering Garden,Lacrimas Profundere,La naissance dun rêve,0.999999880791,1.00000008274E-07,0.455379337072,0.0214799158275,0.0124553255737,0.172399386764,0.179581433535,0.100009642541,0.0472835712135,0.01141139213,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.004464321769770000,0.995535671711,0.986897349358,0.0131026282907,0.141791418195,94.9578781128,spotify:track:6aea7AF0Naq9fZubwbgFTT,2,14,16,17,20,0
Automatic Writing,Psychedelic Horseshit,Laced,0.513737738132,0.48626229167,0.59330534935,0.0133882947266,0.008626549504700000,0.047042042017,0.0221875160933,0.0310368537903,0.27102363109600000,0.0133897373453,0.05738490819930000,0.135186061263,0.436297595501,0.06618051230910000,0.304950922728,0.8926104903220000,0.107389479876,0.989313542843,0.0106864767149,0.490760505199,95.4197769165,spotify:track:3O5wg4KVl2O6gKr7iuULgk,2,12,15,17,20,0
Quo Vadis Prelude (with chimes)/Drums (Appian Way),Miklós Rózsa,Ben-Hur,0.538302958012,0.461697041988,0.603645920753,0.00980889145285,0.013714401051400000,0.139021009207,0.0756726637483,0.0329630896449,0.083323970437,0.0418500825763,0.157411202788,0.306902915239,0.158356785774,0.164586693048,0.212742388248,0.280627816916,0.719372153282,0.152439132333,0.847560882568,0.891195714474,95.6226043701,Not Found,2,11,16,18,20,0
"Kantate, BWV 212 Mer Hahn En Neue Oberkeet: X. Aria (Sopran) Das Ist Galant",Johann Sebastian Bach,"Bach: Hänssler Edt. Vol.17: Weltliche Kantaten, BWV 208-215 (Disc3)",0.661666691303,0.338333338499,0.414339512587,0.0106199225411,0.0294322129339,0.1875012815,0.0787077173591,0.201917156577,0.0265379864722,0.0509442090988,0.123757787049,0.217240557075,0.277008146048,0.0870073735714,0.294986128807,0.981106758118,0.0188932605088,0.008423984982070000,0.991576015949,0.405478477478,96.7177810669,Not Found,2,14,15,18,20,0
At First She Starts,Lal Waterson & Oliver Knight,Once in a Blue Moon,0.999999880791,1.00000008274E-07,0.574565112591,0.004628366325050000,0.0151917664334,0.183606892824,0.050757642835400000,0.155284762383,0.005785198882220000,0.0101802516729,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.139597162604,0.8604028224950000,0.152813091874,0.8471869230270000,0.0980008393526,97.4504013062,spotify:track:7BTywMQ4g7CDekeqZE0WQr,2,14,16,18,20,0
Le Temps des cerises,Chanson Plus Bifluorée,De concert et dimprévu...,0.999999880791,1.00000008274E-07,0.6317556500430000,0.008632997982200000,0.0229937359691,0.12357096374,0.0314098261297,0.0363838374615,0.0113821243867,0.133870884776,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.983191132545,0.0168088693172,2.61085260718E-05,0.999973893166,0.30854278802900000,97.84098052980000,spotify:track:2R4wES9riNyJgViHsSP5X1,2,14,15,18,20,0
Harmonika (Z Filmu Tenkrát Na Západe),Ennio Morricone,Mix 04,0.522596418858,0.477403610945,0.6365091800690000,0.00183568370994,0.0428443327546,0.0934503152966,0.00655742362142,0.206742271781,0.00764032499865,0.00442048255354,0.08416015654800000,0.236056283116,0.233505621552,0.148290619254,0.297987312078,0.199848473072,0.800151526928,1.0,1.00067210074E-09,0.54815107584,97.8604812622,Not Found,2,14,16,17,20,0
