title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
"Sonata for cello & piano in G minor, Op. 65, CT. 204: I. Allegro Moderato","Yo-Yo Ma, Pamela Frank, Emanuel Ax",Yo-Yo Ma: 30 Years Outside the Box,0.0111862821504,0.988813698292,0.908940911293,0.0019552714657,0.0039549912326,0.0618541650474,0.005903519690040000,0.00814767740667,0.00256288726814,0.006680599879470000,0.0753375738859,0.0502646006644,0.242611721158,0.0357264280319,0.596059679985,0.580001294613,0.419998735189,0.999999940395,5.77200971463E-08,0.107435040176,110.47513580300000,Not Found,2,14,15,17,19,1
Proseta se Jovka Kumanovka,Vlatko Stefanovski & Miroslav Tadić,Krushevo,0.0117095727473,0.988290429115,0.6862839460370000,0.00407296046615,0.00984512455761,0.229983955622,0.0176173504442,0.0304785948247,0.00497156800702,0.0167465079576,0.121331371367,0.148300006986,0.30980378389400000,0.0983767360449,0.322188109159,0.952813029289,0.047186974436,0.999999463558,5.38420692919E-07,0.0136843109503,110.894096375,Not Found,2,14,15,17,19,1
"Introduction and Polonaise brillante for cello & piano in C major, Op. 3, CT. 148","Yo-Yo Ma, Pamela Frank, Emanuel Ax",Yo-Yo Ma: 30 Years Outside the Box,0.0193034075201,0.980696618557,0.950277268887,0.0011855897028,0.000970735272858,0.0303546469659,0.00556417414919,0.00756803201512,0.00204487820156,0.00203468743712,0.069824822247,0.0529114603996,0.31622621417,0.046773660928,0.514263808727,0.976134896278,0.023865101859,0.999995470047,4.51467258245E-06,0.0477712750435,111.29863739,Not Found,2,14,15,17,19,1
Cry (If You Dont Mind),Jarabe de Palo,Un Metro Cuadrado 1m2,3.00000096379E-14,1.0,0.516444802284,0.0025535982567800000,0.0273974984884,0.420906305313,0.00297300680541,0.008252539671960000,0.00239475816488,0.0190774928778,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.707814335823,0.292185693979,0.8572781085970000,0.142721891403,0.00592274032533,111.39196777300000,Not Found,2,14,15,17,19,1
Elvira Waltz / The Road To Beaumont,Frank Fairfield,Ingleside,0.464902073145,0.535097956657,0.7020123004910000,0.00385434203781,0.00456872349605,0.113353841007,0.06891704350710000,0.0779625922441,0.0115108760074,0.0178203098476,0.0872367992997,0.108673378825,0.253868579865,0.06662601232530000,0.483595222235,0.999997735023,2.28164230975E-06,0.8691525459290000,0.130847468972,0.833373248577,111.410087585,Not Found,2,14,15,17,19,1
Adjustment,Alexander Von Schlippenbach,Blue Hawk,0.006034330930560000,0.993965685368,0.8003251552580000,0.000164448312717,0.000557018094696,0.181009486318,0.000784549396485,0.0148079227656,0.0003961974871340000,0.00195524655282,0.0735411122441,0.07856068760160000,0.271707177162,0.0495991110802,0.526591897011,0.755741119385,0.244258895516,0.995271980762,0.00472802110016,0.00928176566958,111.534729004,spotify:track:6Diokgk7vL9mGdyJYDP85L,2,14,15,17,19,1
Atto I - Scena 1 - Sgombra E La Sacra Selva,Vincenzo Bellini,"The Complete Studio Recordings 1949-1969 (Disc 55: Bellini : Norma (Maria Callas, Core E Orchestra Del Teatro Alla Scala, Milano ; Tullio Serafin)",0.105745986104,0.894254028797,0.7277617454530000,0.00248392624781,0.013413812033800000,0.161535218358,0.00657877046615,0.0590408705175,0.00165320083033,0.0275324620306,0.0694016069174,0.0465857163072,0.222429722548,0.0340578146279,0.627525150776,0.935201823711,0.06479816138740000,0.989984750748,0.0100152352825,1.68066180777E-05,111.781692505,Not Found,2,14,15,17,19,1
Earth-People,Ramases,Space Hymns,0.0206816121936,0.979318380356,0.51162481308,0.00204775319435,0.0118307732046,0.422040909529,0.00329686608166,0.0418380759656,0.00212744227611,0.00519335642457,0.08887369185690000,0.0956352353096,0.283076673746,0.08118038624530000,0.451234012842,0.6161478757860000,0.383852154016,0.909013211727,0.0909867659211,0.08124346286060000,111.885688782,spotify:track:68VE0Qpg3BYP7paTqcxdEN,2,14,15,17,19,1
"Vier letzte Lieder, AV 150: II. September",Richard Strauss,Complete Recordings on Deutsche Grammophon (box 6: 1973-1975),0.136918529868,0.863081455231,0.850371479988,0.00251454394311,0.00611473666504,0.06893031299110000,0.0129713146016,0.0421309806406,0.00262368377298,0.0143429636955,0.06773106753830000,0.159423336387,0.335925161839,0.0744585320354,0.3624618947510000,0.995015203953,0.004984776955100000,0.969887733459,0.0301122758538,0.00033551259548400000,111.974746704,spotify:track:3a4YudmsMupe2rnnd4AO7g,2,14,15,17,19,1
Auf dem Wasser zu singen,Franz Schubert,Piano Concerto no. 1,0.0432562828064,0.956743717194,0.97916072607,0.000246602925472,0.0012644456001,0.0162179451436,0.000123382444144,0.000192278195755,0.000268354546279,0.00252628070302,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.668585717678,0.33141425252000000,0.999999642372,3.5232051232E-07,0.0535527504981,112.230247498,spotify:track:1nNJnFRoLD8Vit6M6rV2YQ,2,14,15,17,19,1
Yellow Beach,Ahn Trio,Groovebox,0.0304718241096,0.969528198242,0.972032189369,0.00152604363393,0.00138575804885,0.00890635699034,0.00296972622164,0.0106723317876,0.00102665345185,0.00148094072938,0.08998470753430000,0.12916252017000000,0.313103049994,0.0773429423571,0.390406787395,0.869344711304,0.130655318499,0.995940864086,0.00405912194401,0.466806977987,112.33786773700000,spotify:track:0Dg9PiIFP75EvsgoU4AiJF,2,14,15,17,19,1
I See You,Byrds,There Is a Season (Disc 2),0.0923751816154,0.907624840736,0.314925014973,0.0609750635922,0.107260324061,0.0519217178226,0.0756075307727,0.0834727063775,0.282203882933,0.0236337762326,0.100604698062,0.0890021920204,0.0572456941009,0.0763614624739,0.676785945892,0.834734737873,0.165265247226,0.7766551375390000,0.223344877362,0.786177933216,112.439704895,spotify:track:5yWCvezVrYmyX6FbvfL1qw,2,14,15,17,19,1
Four for Tango,Kronos Quartet,Winter Was Hard,0.188575282693,0.8114247322080000,0.65732640028,0.0139606790617,0.0303606297821,0.122047372162,0.0647728294134,0.0484889559448,0.0222335495055,0.0408095642924,0.07209068536760000,0.0666176900268,0.212673783302,0.0447818227112,0.603835999966,0.84786015749,0.152139857411,0.997190237045,0.0028097438626,0.64840722084,112.92044067400000,spotify:track:2k12y7aQ5IDzMJekTiiMUV,2,14,15,17,19,1
Cronicas de una Ausencia,"Inti-Illimani, John Williams & Paco Peña",Leyenda,0.025258230045400000,0.974741756916,0.904363691807,0.00540149724111,0.013157332316,0.00512518687174,0.0123681090772,0.0515483804047,0.00576326996088,0.00227250880562,0.08024274557830000,0.105969071388,0.301015764475,0.0636586174369,0.449113786221,0.996561169624,0.0034388154745100000,0.985397100449,0.0146029088646,0.077335588634,112.94123077400000,spotify:track:5NzRRp03Wfzfg0hCjJJ4zf,2,14,15,17,19,1
"Concerto for Flute and Harp in C, K. 299: I. Allegro",Pyotr Ilyich Tchaikovsky,"The Complete EMI Recordings 1946-1984, Volume 1: Orchestral",0.0233334377408,0.97666656971,0.765349447727,0.00111536355689,0.00102133420296,0.123786844313,0.0170013941824,0.0876258909702,0.00221198215149,0.00188775977585,0.0748286470771,0.0475337840617,0.25900042057000000,0.0362860746682,0.582351088524,0.999999284744,7.03919965872E-07,0.999996840954,3.18071238326E-06,0.0102824568748,113.81001281700000,Not Found,2,14,15,17,19,1
"Hey, Future!",The Coralinas,Free Energy,0.025658825412400000,0.974341154099,0.6302978396420000,0.0066290670074500000,0.018847083672900000,0.256032884121,0.0174238998443,0.037281632423400000,0.0132285272703,0.0202590953559,0.0772218108177,0.0444044843316,0.227747172117,0.0306325796992,0.619993925095,0.79771822691,0.20228177309,1.0,4.08370975924E-11,0.16216172277900000,113.817344666,spotify:track:1gpAZ9wEm03NFtBXnYzTiZ,2,14,15,17,19,1
"Lord, Make Me To Know My End",Dmitry Stepanovich Bortniansky,The Powers Of Heaven: Orthodox Music of the 17th & 18th Centuries,0.029936440289,0.970063567162,0.846363544464,0.000913105148356,0.00178372114897,0.134333327413,0.00489171920344,0.00783768761903,0.0007731403457,0.0031037516892,0.0668208003044,0.054153416305800000,0.363169878721,0.0568037852645,0.459052115679,0.506677925587,0.493322104216,0.5173781514170000,0.482621848583,0.0146098937839,113.82091522200000,spotify:track:2t6PiSsdbf9B4alTNIpb4b,2,14,15,17,19,1
"Symphony, No. 2 in, D major, Op. 73: I. Allegro non troppo",Johannes Brahms,"The Complete EMI Recordings 1946-1984, Volume 1: Orchestral",0.0150031568483,0.984996855259,0.8898178339,0.0013293388765300000,0.00288618379273,0.036128319799900000,0.00747764389962,0.0570326931775,0.0016225265571800000,0.00370547315106,0.0771579369903,0.0445160269737,0.228218570352,0.0307524781674,0.619354963303,0.5559694767,0.4440305233,0.997121810913,0.00287817232311,0.0207710750401,113.825164795,spotify:track:0sVDD6ByNgzxmzL2hXUX5i,2,14,15,17,19,1
In A Landscape,John Cage,Early Piano Music,1.30242115119E-05,0.999986946583,0.915705025196,0.00128872599453,0.00265630707145,0.059618845582,0.00347758480348,0.00867305044085,0.00093909970019,0.007641353644430000,0.07558239996430000,0.0455042496324,0.231883257627,0.0315909311175,0.615439176559,0.632920563221,0.367079436779,1.0,2.00257060934E-10,0.017751345410900000,113.867393494,spotify:track:3OzNi0pIuKw2TislAAD83I,2,14,15,17,19,1
"Piano Concerto no. 2, op. 18: II. Adagio sostenuto",Pyotr Ilyich Tchaikovsky,"The Complete EMI Recordings 1946-1984, Volume 1: Orchestral",0.00780796911567,0.992192029953,0.904737889767,0.000474976317491,0.00151584483683,0.0603802427649,0.00160309718922,0.0290597565472,0.000502231938299,0.0017259680898900000,0.077052436769,0.0446277149022,0.228116497397,0.030766624957300000,0.619436740875,0.584602534771,0.415397465229,0.999992966652,7.05793172529E-06,9.84415419225E-06,114.00112915,Not Found,2,14,15,17,19,1
