,Title,Release.Date,Primary.Genre,Actors,acum_real
1908,21 Jump Street,05/04/2012,Comedy,"Brie Larson, Channing Tatum, Dakota Johnson, Dave Franco, Ellie Kemper, Ice Cube, Jonah Hill, Lindsey Broad",18072534.66
1910,Exit Through The Gift Shop,06/08/2012,Documentary,,187676.0
1912,Juegos Inocentes,05/14/2010,Drama,"Abril Reyes, Alan Fernando, Alberto Reyes, Erendira Ibarra, Ignacio Riva Palacio, Miguel Couturier",2699850.50000001
1915,Machete,11/12/2010,Action,"Cheech Marin, Danny Trejo, Daryl Sabara, Don Johnson, Jeff Fahey, Jessica Alba, Lindsay Lohan, Michelle Rodriguez, Robert De Niro, Shea Whigham, Steven Seagal",11696680.66
1916,Mujer alabastrina,02/19/2010,Drama,"Ana Claudia TalancÃ³n, Dolores Heredia, Hector Suarez, Ofelia Medina, Sergio Basanez, Silvia Navarro",3188821.99999999
1919,My Last Five Girlfriends,04/08/2011,,"Brendan Patricks, CÃ©cile Cassel, Chris Gascoyne, Daniel Hoffmann-Gill, Edith Bukovics, Jane March, Johnny Ball, Kelly Adams, Mark Benton, Michael Douglas, Michael Sheen, Naomie Harris",3147257.91
1920,Mission: Impossible Ghost Protocol,12/22/2011,Action,"Anil Kapoor, Darren Shahlavi, Jeremy Renner, Josh Holloway, LÃ©a Seydoux, Michael Nyqvist, Paula Patton, Simon Pegg, Tom Cruise, Tom Wilkinson, Ving Rhames",159958863.56
1921,"Show de Polo Polo Recargado, El",02/26/2010,Special Events,,4428647.99999999
1923,"Killer Inside Me, The",12/16/2010,Drama,"Bill Pullman, Casey Affleck, Elias Koteas, Jessica Alba, Kate Hudson, Liam Aiken, Ned Beatty, Simon Baker",2893099.95
1926,Fast Five,05/05/2011,Action,"Chris ""Ludacris"" Bridges, Don Omar, Dwayne Johnson, Elsa Pataky, Fernando Chien, Gal Gadot, Joaquim de Almeida, Jordana Brewster, Matt Schulze, Michael Kirby, Paul Walker, Sung Kang, Tego Calderon, Tyrese Gibson, Vin Diesel",282034031.6
1934,Alvin And The Chipmunks: Chipwrecked,12/15/2011,Animation,"Amy Poehler, Anna Faris, Christina Applegate, David Cross, Jason Lee, Jenny Slate, Jesse McCartney, Justin Long, Matthew Gray Gubler",105527912.499
1942,No Strings Attached,02/25/2011,Romantic Comedy,"Ashton Kutcher, Cary Elwes, Greta Gerwig, Kevin Kline, Lake Bell, Natalie Portman",57741147.0300001
1943,"Mal Ajeno, El",07/15/2011,Drama,"Angie Cepeda, Belen Rueda, Clara Lago, Eduardo Noriega",596493.5
1945,"Ultima y nos vamos, La",03/19/2010,Drama,"Antonio Bassols, Karen CastaÃ±o, Maria de los Angeles Ayuso",4588358.0
1949,Daniel y Ana,05/07/2010,Drama,"Chema Torre, Dario Yazbek Bernal, Marimar Vega",3708518.5
1950,Hidalgo: La historia jamÃ¡s contada,09/16/2010,Drama,"Ana de la Reguera, AndrÃ©s Palacios, Cecilia SuÃ¡rez, Demian Bichir, Flavio Medina, Juan Carlos Colombo, Juan Ignacio Aranda, Luis Gerardo MÃ©ndez, Marco Trevino, Miguel Rodarte, NÃ©stor Rodulfo, Odiseo Bichir, Plutarco Haza, RaÃºl MÃ©ndez, Ricardo Polanco",32050711.859299894
1951,Bridesmaids,09/09/2011,Comedy,"Elaine Kao, Ellie Kemper, Jessica St. Clair, Jill Clayburgh, Judd Apatow, Kali Hawk, Kristen Wiig, Matt Lucas, Maya Rudolph, Melissa McCarthy, Michael Hitchcock, Rebel Wilson, Rose Byrne, Steve Bannos, Terry Crews, Tom Yi, Wendi McLendon-Covey",15269928.71
1952,"Change-Up, The",09/23/2011,Comedy,"Alan Arkin, Jason Bateman, Leslie Mann, Mircea Monroe, Olivia Wilde, Ryan Reynolds",36595644.780000106
1953,Paul,09/02/2011,Comedy,"Bill Hader, Blythe Danner, David Koechner, Jane Lynch, Jason Bateman, Jeffrey Tambor, Jesse Plemons, John Carroll Lynch, Kristen Wiig, Nick Frost, Seth Rogen, Sigourney Weaver, Simon Pegg",6890727.96000001
1956,Del amor y otros demonios,12/18/2014,Drama,"Alejandra Borrero, Carlota Llano, Eliza Triana, Jordi Dauder, Martha Lucia Leal, Pablo Derqui, Vicky Hernandez",221260.0
1957,"Big Mommas: Like Father, Like Son",02/25/2011,Comedy,"Brandon T. Jackson, Faizon Love, Jessica Lucas, Ken Jeong, Martin Lawrence, Portia Doubleday",44756297.7900001
1963,Asi,08/25/2006,Drama,"Oliver Cantu, Roberto Garcia Suarez",219822.0
1965,Redencion (2010),03/26/2010,Drama,"Erica De La Llave, Rodrigo Murray",28335.9999999999
1966,Hugo (2011),01/27/2012,Adventure,"Asa Butterfield, Ben Kingsley, Chloe Grace Moretz, Christopher Lee, Emily Mortimer, Helen McCrory, Jude Law, Michael Stuhlbarg, Ray Winstone, Sacha Baron Cohen",42546646.9799999
1968,Johnny English 2,10/21/2011,Comedy,"Burn Gorman, Dominic West, Gillian Anderson, Mark Ivanir, Rosamund Pike, Rowan Atkinson, Togo Igawa",44366498.829999894
1969,Shutter (2008),04/11/2008,Horror,"David Denman, James Kyson Lee, John Hensley, Joshua Jackson, Rachel Taylor",39336026.000000104
1980,Sunshine (2007),04/12/2007,Science Fiction,"Benedict Wong, Chris Evans, Cillian Murphy, Cliff Curtis, Hiroyuki Sanada, Mark Strong, Michelle Yeoh, Rose Byrne, Troy Garity",6727454.0
1985,"Covenant, The",10/27/2006,Horror,"Chace Crawford, Sebastian Stan, Steven Strait, Taylor Kitsch, Toby Hemingway",24929032.0
1987,Fantastic Four: Rise Of The Silver Surfer,06/22/2007,Action,"Chris Evans, Doug Jones, Ioan Gruffudd, Jessica Alba, Julian McMahon, Michael Chiklis",179031175.4
1990,Zodiac,06/01/2007,Suspense,"Al Cacioppo, Anthony Edwards, Elias Koteas, Jake Gyllenhaal, Jimmi Simpson, Mark Ruffalo, Robert Downey  Jr.",17349308.0
1994,Delta Farce,06/06/2008,Comedy,"Bill Engvall, Danny Trejo, D.J. Qualls, Glenn Morshower, Keith David, Larry the Cable Guy",1956821.0
1996,Clash Of The Titans,04/16/2010,Action,"Alexa Davalos, Danny Huston, Elizabeth McGovern, Gemma Arterton, Izabella Miko, Jason Flemyng, Kaya Scodelario, Liam Neeson, Mads Mikkelsen, Nicholas Hoult, Polly Walker, Ralph Fiennes, Sam Worthington, Tamer Hassan",266952782.26
2002,Devil,11/26/2010,Horror,"Bojana Novakovic, Bokeem Woodbine, Chris Messina, Geoffrey Arend, Jacob Vargas, Jenny O'Hara, Logan Marshall-Green",27449021.3
2004,"American, The",12/03/2010,Drama,"Bruce Altman, Filippo Timi, George Clooney, Paolo Bonacelli, Thekla Reuten, Violante Placido",5681643.1
2005,Monsters (2010),11/04/2011,Drama,"Scoot McNairy, Whitney Able",11846665.23
2007,"Dark Knight Rises, The",07/27/2012,Action,"Anne Hathaway, Christian Bale, Gary Oldman, Joseph Gordon-Levitt, Juno Temple, Liam Neeson, Marion Cotillard, Matthew Modine, Michael Caine, Morgan Freeman, Tom Hardy",420153769.98
2008,Intruders (2011),04/20/2012,Horror,"Carice van Houten, Clive Owen, Daniel BrÃ¼hl, Ella Purnell, Izan Corchero, Kerry Fox, Pilar LÃ³pez de Ayala",11201136.64
2009,Rompecabezas,05/27/2011,Drama,"Arturo Goetz, Felipe Villanueva, Gabriel Goity, Henny Trayles, Maria Onetto",142515.09
2011,30 Minutes Or Less,10/28/2011,Comedy,"Aziz Ansari, Danny McBride, Jesse Eisenberg, Michael Pena, Nick Swardson",4945468.15
2013,X-Men: First Class,06/03/2011,Action,"Alex Gonzalez, Beth Goddard, Hugh Jackman, James McAvoy, January Jones, Jason Flemyng, Jennifer Lawrence, Kevin Bacon, Michael Fassbender, Nicholas Hoult, Oliver Platt, Rebecca Romijn, Rose Byrne",157316645.93
2014,"Twilight Saga: Breaking Dawn, The",11/18/2011,Drama,"Anna Kendrick, Ashley Greene, Dakota Fanning, Jackson Rathbone, Jamie Campbell Bower, Kellan Lutz, Kristen Stewart, Lee Pace, Maggie Grace, Michael Sheen, Nikki Reed, Peter Facinelli, Robert Pattinson, Taylor Lautner",239527143.41
2020,Hereafter,01/06/2011,Suspense,"Bryce Dallas Howard, CÃ©cile De France, Jay Mohr, Lyndsey Marshal, Matt Damon, Richard Kind, Steve Schirripa",31658873.3
2022,Ice Age: Continental Drift,06/28/2012,Animation,"Aziz Ansari, Chris Wedge, Denis Leary, Heather Morris, Jennifer Lopez, Jeremy Renner, John Leguizamo, Josh Gad, Josh Peck, Keke Palmer, Peter Dinklage, Queen Latifah, Ray Romano, Rebel Wilson, Seann William Scott, Simon Pegg, Wanda Sykes",596224381.27
2023,Super 8,08/05/2011,Suspense,"Amanda Michalka, Bruce Greenwood, Elle Fanning, Gabriel Basso, Joel Courtney, Katie Lowes, Kyle Chandler, Marco Sanchez, Maryan Guuleed, Noah Emmerich, Ron Eldard, Zach Mills",79715842.54
2025,Rise Of The Planet Of The Apes,09/02/2011,Science Fiction,"Andy Serkis, Brian Cox, Chelah Horsdal, Christopher Gordon, David Hewlett, David Oyelowo, Devyn Dalton, Freida Pinto, James Franco, Jamie Harris, Jay Caputo, John Lithgow, Karin Konoval, Richard Ridings, Terry Notary, Tom Felton, Tyler Labine",169463108.18
2040,Men In Black 3,05/25/2012,Comedy,"Alice Eve, Bill Hader, Cayen Martin, Clarke Thorell, David Rasche, Emma Thompson, Jemaine Clement, Joseph R. Gannascoli, Josh Brolin, Keone Young, Lady Gaga, Michael Chernus, Michael Stuhlbarg, Nicole Scherzinger, Tommy Lee Jones, Will Smith, Yuri Lowenthal",220868225.56
2050,Unknown,03/18/2011,Suspense,"Aidan Quinn, Bruno Ganz, Diane Kruger, Frank Langella, January Jones, Liam Neeson, Stephen Cornwell",52055215.890000105
2057,Club Eutanasia,04/22/2005,Suspense,"Chelo Cobo, Hector Gomez, Lorenzo de Rodas, Magda Guzman, Sergio Corona",3846110.00000019
2059,"Ver, Oir y Callar",03/04/2005,Suspense,"Gustavo Sanchez, Luis Felipe Tovar, Mauricio Ochmann, Paola NÃºÃ±ez",3014644.99999931
2062,"Rite, The",02/18/2011,Suspense,"Alice Braga, Anthony Hopkins, Arianna Veronesi, Chris Marquettef, Ciaran Hinds, Colin O'Donoghue, Maria Grazia Cucinotta, Marta Gastini, Rutger Hauer, Toby Jones",135087425.79
2063,Hall Pass,04/15/2011,Comedy,"Alexandra Daddario, Alyssa Milano, Christina Applegate, Jason Sudeikis, Jenna Fischer, Larry Joe Campbell, Lauren Bowles, Nicky Whelan, Owen Wilson, Richard Jenkins, Stephen Merchant, Tyler Hoechlin",26786827.47
2064,Horrible Bosses,08/05/2011,Comedy,"Barry Livingston, Bob Newhart, Charlie Day, Colin Farrell, Donald Sutherland, Ioan Gruffudd, Jamie Foxx, Jason Bateman, Jason Sudeikis, Jennifer Aniston, John Francis Daley, Julie Bowen, Kevin Spacey, Lindsay Sloane, Steve Wiebe, Wendell Pierce",42726466.35
2078,Born To Be Wild 3D,09/09/2011,Documentary,Morgan Freeman,123079.0
2079,We Bought A Zoo,12/22/2011,Drama,"Angus Macfadyen, Carla Gallo, Colin Ford, Elle Fanning, John Michael Higgins, Matt Damon, Patrick Fugit, Peter Riegert, Scarlett Johansson, Stephanie Szostak, Thomas Haden Church",34895519.82
2080,Red Riding Hood,04/22/2011,Suspense,"Amanda Seyfried, Billy Burke, Cole Heppell, Gary Oldman, Jen Halley, Julie Christie, Max Irons, Shiloh Fernandez, Virgina Madsen",48566713.9499999
2081,Final Destination 5,09/23/2011,Horror,"Arlen Escarpeta, Chasty Ballesteros, Courtney B. Vance, David Koechner, Ellen Wroe, Emma Bell, Jacqueline MacInnes-Wood, Miles Fisher, Nicholas DAgosto, P.J. Byrne, Tony Todd",38861502.5500001
2082,"Apparition, The (2012)",09/07/2012,Horror,"Ashley Greene, Rick Gomez, Sebastian Stan, Tom Felton",10318791.15
2083,Contagion,10/28/2011,Suspense,"Gwyneth Paltrow, Jude Law, Kate Winslet, Laurence Fishburne, Marion Cotillard, Matt Damon",36364010.3099999
2084,New Year's Eve,12/15/2011,Romantic Comedy,"Abigail Breslin, Alyssa Milano, Ashton Kutcher, Carla Gugino, Chris 'Ludacris' Bridges, Christine Lakin, Halle Berry, Hector Elizondo, Hilary Swank, James Belushi, Jessica Biel, John Lithgow, John Stamos, Jon Bon Jovi, Josh Duhamel, Katherine Heigl, Lea Michele, Michelle Pfeiffer, Nat Wolff, Robert De Niro, Sarah Jessica Parker, Sarah Paulson, Seth Meyers, Sofia Vergara, Til Schweiger, Zac Efron",35867680.84
2090,Never Let Me Go,03/11/2011,Drama,"Andrea Riseborough, Andrew Garfield, Carey Mulligan, Charlotte Rampling, Domhnall Gleeson, Keira Knightley, Nathalie Richard, Sally Hawkins",5092309.75
2092,Waiting For 'Superman',12/03/2010,Documentary,,139835.0
2093,Vampires Suck,09/03/2010,Comedy,"Bradley Dodds, Charlie Weber, Chris Riggi, David DeLuise, Emily Brobst, Jenn Proske, Ken Jeong, Matt Lanter, Parker Dash",34752308.0998001
2094,Sideways,02/25/2005,Comedy,"M.C. Gainey, Paul Giamatti, Sandra Oh, Thomas Haden Church, Virginia Madsen",6579954.00000028
2095,Armadillo,10/14/2011,Documentary,,50670.000000000095
2100,Cefalopodo,09/24/2010,Drama,"Alejandra Ambrosi, Unax Ugalde",160396.0
2103,Forgetting Sarah Marshall,09/19/2008,Comedy,"Bill Hader, Erik Norris, Jason Bateman, Jason Segel, Jonah Hill, June Raphael, Kristen Bell, Kristen Wiig, Mila Kunis, Paul Rudd, Russell Brand",10304655.0
2114,Somos lo que hay,12/03/2010,Horror,"Adrian Aguirre, Carmen Beato, Francisco Barreiro, Juan Carlos Colombo, Miriam Balderas, Paulina Gaitan",1442261.15
2115,Sherlock Holmes: A Game Of Shadows,12/29/2011,Action,"Eddie Marsan, Jared Harris, Jude Law, Noomi Rapace, Rachel McAdams, Robert Downey  Jr., Stephen Fry",128403150.36
2116,AÃ±o bisiesto,10/08/2010,Drama,"Armando Hernandez, Gustavo SÃ¡nchez Parra, Marco Zapata, Monica del Carmen",2208822.7
2124,Dream House,10/14/2011,Suspense,"Claire Geare, Daniel Craig, Jonathan Potts, Lynne Griffin, Mark Wilson, Marton Csokas, Naomi Watts, Rachel G. Fox, Rachel Weisz",35240350.19
2131,"Thing, The (2011)",11/25/2011,Horror,"Adewale Akinnuoye-Agbaje, Eric Christian Olsen, Joel Edgerton, Jonathan Walker, Kim Bubbs, Mary Elizabeth Winstead, Stig Henrik Hoff, Ulrich Thomsen",9505303.59
2133,"Beaver, The",06/17/2011,Drama,"Anton Yelchin, Cherry Jones, Jennifer Lawrence, Jodie Foster, Mel Gibson, Riley Thomas Stewart, Zachary Booth",13564105.91
2136,Gaturro,04/27/2012,Animation,"Agustina Gonzalez Cirulnik, Mariano Chiesa",1500181.3
2139,Monte Carlo,07/29/2011,Comedy,"Andie MacDowell, Brett Cullen, Catherine Tate, Corey Monteith, Cory Monteith, Katie Cassidy, Leighton Meester, Luke Bracey, Selena Gomez",19814704.54
2141,Project X,03/16/2012,Comedy,"Jonathan Daniel Brown, Miles Teller, Oliver Cooper, Thomas Mann",11308989.15
2145,Pina,04/27/2012,Documentary,"Malou Airaudo, Pina Bausch, Regina Advento, Ruth Amarante",3710085.7
2149,I Spit On Your Grave: Unrated,03/04/2011,Horror,"Andrew Howard, Chad Lindberg, Daniel Franzese, Jeff Branson, Rodney Eastman, Sarah Butler, Tracey Walter",4238970.0
2150,"Impossible, The",12/20/2012,Drama,"Ewan McGregor, Naomi Watts, Tom Holland",132979015.84
2156,"Crazy, Stupid, Love",08/19/2011,Comedy,"Analeigh Tipton, Emma Stone, Joey King, John Carroll Lynch, Jonah Bobo, Josh Groban, Julianne Moore, Kevin Bacon, Liza Lapira, Marisa Tomei, Ryan Gosling, Steve Carell",64581659.85
2160,What's Your Number?,09/30/2011,Comedy,"Andy Samberg, Anna Faris, Ari Graynor, Blythe Danner, Chris Evans, Martin Freeman, Zachary Quinto",20589182.23
2167,Anonymous (2011),12/02/2011,Drama,"David Thewlis, Derek Jacobi, Edward Hogg, Jamie Campbell Bower, Joely Richardson, Mark Rylance, Rafe Spall, Rhys Ifans, Vanessa Redgrave, Xavier Samuel",1035441.54
2168,Inside Job,04/22/2011,Documentary,Matt Damon,853766.9999999991
2169,Open Season 3,10/29/2010,Animation,"Karley Scott Collins, Matthew W. Taylor, Steve Schirripa",14583660.34
2170,"Girl With The Dragon Tattoo, The",01/20/2012,Suspense,"Christopher Plummer, Daniel Craig, Elodie Yung, Embeth Davidtz, Geraldine James, Goran Visnjic, Joel Kinnaman, Joely Richardson, Julian Sands, Robin Wright, Rooney Mara, Stellan Skarsgard, Steven Berkoff",71420858.38
2171,Senna,08/12/2011,Documentary,,3821316.39
2173,"Danish Girl, The",01/15/2016,Drama,"Adrian Schiller, Alicia Vikander, Amber Heard, Eddie Redmayne, Matthias Schoenaerts",69615668.0499956
2175,Post Mortem,04/29/2011,Drama,"Alfredo Castro, Amparo Noguera, Antonia Zegers, Jaime Vadell, Marcelo Alonso",383024.999999999
2176,"Darkest Hour, The (2011)",01/13/2012,Horror,"Dato Bakhtadze, Emile Hirsch, Georgiy Gromov, Joel Kinnaman, Max Minghella, Nikolay Efremov, Olivia Thirlby, Rachael Taylor, Veronika Vernadskaya, Yuriy Kutsenko",56539204.06
2178,Fair Game,03/25/2011,Action,"Brooke Smith, Bruce McGill, David Denman, Michael Kelly, Naomi Watts, Sam Shepard, Sean Penn, Ty Burrell",10146949.6
2180,"Tourist, The",01/14/2011,Suspense,"Alessio Boni, Angelina Jolie, Bruno Wolkowitch, Christian De Sica, Daniele Pecci, Francois Vincentelli, Giovanni Guidelli, Johnny Depp, Julien Baumgartner, Marc Ruchmann, Paul Bettany, Raoul Bova, Rufus Sewell, Steven Berkoff, Timothy Dalton",67883721.6199999
2184,127 Hours,02/25/2011,Drama,"Amber Tamblyn, Clemence Poesy, Darin Southam, James Franco, Kate Burton, Kate Mara, Lizzy Caplan",15166250.15
2185,Water For Elephants,04/29/2011,Drama,"Christoph Waltz, Hal Holbrook, Reese Witherspoon, Robert Pattinson",39530870.56
2187,I'm Still Here,10/07/2011,Documentary,"Billy Crystal, Joaquin Phoenix",186131.0
2188,Bad Teacher,07/22/2011,Comedy,"Cameron Diaz, Eric Stonestreet, Jason Segel, Jillian Armenante, John Michael Higgins, Justin Timberlake, Lucy Punch, Molly Shannon, Noah Munck, Phyllis Smith Altenhaus, Thomas Lennon",43755106.93
2189,Jack And Jill,11/11/2011,Comedy,"Adam Sandler, Al Pacino, Dana Carvey, David Spade, Elodie Tougne, Eugenio Derbez, Gary Valentine, Katie Holmes, Tim Meadows",117251578.87
2191,Seres: Genesis,09/24/2010,Action,"Alejandra Barros, Arturo Delgado, Gonzalo Vega, Humberto Busto, Liz Gallardo, Luisa Guerrero, Manuel Balbi",5991644.00000001
2193,Black Swan,02/11/2011,Drama,"Barbara Hershey, Christopher Gartin, Janet Montgomery, Mila Kunis, Natalie Portman, Sebastian Stan, Toby Hemingway, Vincent Cassel, Winona Ryder",92203803.24
2194,One For The Money,02/24/2012,Comedy,"Daniel Sunjata, Debbie Reynolds, Jason O'Mara, John Leguizamo, Katherine Heigl, Patrick Fischler, Sherri Shepherd",7203804.87999999
2196,Dolphin Tale,11/04/2011,Drama,"Ashley Judd, Harry Connick Jr, Kris Kristofferson, Morgan Freeman, Nathan Gamble",15402723.56
2197,"Twilight Saga: Breaking Dawn, Part 2",11/15/2012,Drama,"Anna Kendrick, Ashley Greene, Billy Burke, Christian Serratos, Christopher Heyerdahl, Dakota Fanning, Elizabeth Reaser, Jackson Rathbone, Jamie Campbell Bower, J.D. Pardo, Judith Shekoni, Kellan Lutz, Kristen Stewart, Lee Pace, Mackenzie Foy, Maggie Grace, Michael Sheen, Nikki Reed, Noel Fisher, Peter Facinelli, Rami Malek, Robert Pattinson, Taylor Lautner",350478536.52
2200,Premium Rush,11/23/2012,Suspense,"Aaron Tveit, Aasif Mandvi, Dania Ramirez, Heather Lindell, Jamie Chung, Joseph Gordon-Levitt, Lauren Ashley Carter, Michael Shannon",11898519.22
2203,Friends With Benefits,09/16/2011,Comedy,"Andy Samberg, Bryan Greenberg, Emma Stone, Jenna Elfman, Justin Timberlake, Mila Kunis, Patricia Clarkson, Richard Jenkins, Woody Harrelson",42452725.51
2208,Black Gold,03/23/2012,Adventure,"Antonio Banderas, Freida Pinto, Mark Strong, Tahar Rahim",4625175.83
2209,"No eres tu, soy yo",08/27/2010,Romantic Comedy,"Aaron Hernan, Alberto Estrella, Alejandra Barros, Eugenio Derbez, Gina Morett, Hector Ortega, Juan Rios, Martina Garcia, Mauricio E. Galaz, Mauricio Herrera, Monica Dionne, Regina Orozco, Ricardo Kleinbaum, Shaula Vega, Yadira Orozco",125770397.96
2212,Back to the Future (re:2010),11/05/2010,Adventure,"Billy Zane, Casey Siemaszko, Christopher Lloyd, Claudia Wells, Crispin Glover, James Tolkan, Jason Hervey, Lea Thompson, Marc McClure, Michael J. Fox, Thomas F. Wilson",6755562.10000001
2215,Justin Bieber: Never Say Never,03/25/2011,Documentary,Justin Bieber,12711470.95
2223,Salmon Fishing in the Yemen,06/15/2012,Comedy,"Amr Waked, Catherine Steadman, Emily Blunt, Ewan McGregor, Kristin Scott Thomas, Tom Mison",5835650.66
2227,"Ojos de Julia, Los",02/04/2011,Horror,"Belen Rueda, Joan Dalmau, Lluis Homar, Pablo Derqui",40080421.24
2233,Tower Heist,12/09/2011,Comedy,"Alan Alda, Ben Stiller, Casey Affleck, Eddie Murphy, Gabourey 'Gabby' Sidibe, Judd Hirsch, Matthew Broderick, Michael PeÃ±a, Scottie Knollin, Tea Leoni",42919999.92
2242,Beginners,08/26/2011,Comedy,"Christopher Plummer, Ewan McGregor, Goran Visnjic, MÃ©lanie Laurent",2519399.9
2243,Mr. Popper's Penguins,07/22/2011,Comedy,"Andrew Stewart-Jones, Angela Lansbury, Carla Gugino, Jim Carrey, Maxwell Perry Cotton, Ophelia Lovibond, Philip Baker Hall",98296402.25000021
2248,Abduction,09/30/2011,Action,"Alfred Molina, Jason Isaacs, Lily Collins, Maria Bello, Sigourney Weaver, Taylor Lautner",48549541.750000104
2250,"Fabulosos 7, Los",11/15/2013,Musical,"Arcelia RamÃ­rez, Ari Brickman, Ausencio Cruz, Fernando Becerril, Jorge ZÃ¡rate, JosÃ© Ãngel Bichir, Juan Carlos Remolina, Odiseo Bichir, Paty DÃ­az, Ximena SariÃ±ana",238179.0
2254,"Flamenco, Flamenco",06/17/2016,Musical,"Estrella Morente, Israel Galvan, Paco de Lucia, Rocio Molina, Sara Baras",112870.000000055
2257,Seguir Siendo: CafÃ© Tacvba,11/12/2010,,,2475963.60000001
2266,Life Of Pi,12/20/2012,Drama,"GÃ©rard Depardieu, Irrfan Khan, Sonu Sood, Suraj Sharma, Tabu",255574053.8
2267,Casino Jack,07/15/2011,Suspense,"Barry Pepper, Christian Campbell, Eric Schweig, Graham Greene, Jon Lovitz, Kelly Preston, Kevin Spacey, Maury Chaykin, Rachelle Lefevre, Yannick Bisson",12433.0
2270,Safe House,03/02/2012,Action,"Brendan Gleeson, Denzel Washington, Joel Kinnaman, Liam Cunningham, Robert Patrick, Ryan Reynolds, Sam Shepard, Vera Farmiga",31743268.01
2271,Contraband,02/17/2012,Suspense,"Ben Foster, Caleb Landry Jones, David O'Hara, Diego Luna, Giovanni Ribisi, Jackson Beals, Jaqueline Fleming, Jason Mitchell, Kate Beckinsale, Kent Jude Bernard, Lukas Haas, Mark Wahlberg, Paul LeBlanc, Robert Wahlberg",17695308.86
2272,"Bourne Legacy, The",08/24/2012,Suspense,"Albert Finney, Corey Stoll, David Strathairn, Donna Murphy, Edward Norton, James Joseph O'Neil, Jeremy Renner, Joan Allen, Neil Brooks Cunningham, Oscar Isaac, Rachel Weisz, Scott Glenn, Sonnie Brown, Stacy Keach, Tony Guida, Zeljko Ivanek",43144643.02
2273,47 Ronin,01/31/2014,Action,"Cary-Hiroyuki Tagawa, Chillie Mo, Hiroyuki Sanada, Jin Akanishi, Keanu Reeves, Ko Shibasaki, Rinko Kikuchi, Tadanobu Asano, Togo Igawa, Yorick van Wageningen, Yuriri Naka",77905394.4000001
2275,Snow White And The Huntsman,06/01/2012,Fantasy,"Bob Hoskins, Charlize Theron, Chris Hemsworth, Eddie Marsan, Ian McShane, Kristen Stewart, Lily Cole, Nick Frost, Raffey Cassidy, Ray Winstone, Sam Claflin, Toby Jones, Vincent Regan",214667969.16799998
2276,Abraham Lincoln: Vampire Hunter,08/31/2012,Action,"Anthony Mackie, Benjamin Walker, Dominic Cooper, Jimmi Simpson, Marton Csokas, Mary Elizabeth Winstead, Rufus Sewell",68457492.36
2282,"Vow, The",02/10/2012,Drama,"Channing Tatum, Dillon Casey, Jessica Lange, Kim Roberts, Rachel McAdams, Sam Neill, Scott Speedman",45393794.05
2283,Soul Surfer,10/28/2011,Drama,"AnnaSophia Robb, Carrie Underwood, Craig T. Nelson, Dennis Quaid, Helen Hunt, Jeremy Sumpter, Kevin Sorbo, Lorraine Nicholson",2171402.64
2288,"Son of No One, The",01/11/2013,Action,"Al Pacino, Brian J. Gilbert, Channing Tatum, Jake Cherry, James Ransone, Juliette Binoche, Katie Holmes, Nicolet Scaletta, Ray Liotta, Tracy Morgan",1910008.7
2290,One Day (2011),01/06/2012,Drama,"Anne Hathaway, Jamie Sives, Jim Sturgess, Jodie Whittaker, Ken Stott, Patricia Clarkson, Rafe Spall, Romola Garai, Tom Mison",10605427.71
2292,Paranormal Activity 3,10/21/2011,Horror,"Brian Boland, Chloe Csengery, Christopher Nicholas Smith, Dustin Ingram, Hallie Foote, Jessica Tyler Brown, Johanna Braddy, Katie Featherston, Lauren Bittner, Sprague Grayden",107453546.81
2294,Man On A Ledge,01/27/2012,Suspense,"Anthony Mackie, Ed Harris, Edward Burns, Elizabeth Banks, Jamie Bell, Kyra Sedgwick, Sam Worthington",18750002.96
2296,Moneyball,10/14/2011,Drama,"Brad Pitt, Brent Jennings, Chris Pratt, Jonah Hill, Ken Medlock, Philip Seymour Hoffman, Robin Wright, Stephen Bishop, Tammy Blanchard",24751046.26
2299,Cave of Forgotten Dreams,03/05/2012,Documentary,"Charles Fathy, Werner Herzog",260086.0
2302,In Time,11/04/2011,Suspense,"Alex Pettyfer, Amanda Seyfried, Cillian Murphy, Collins Pennie, Elena Satine, Ethan Peck, Johnny Galecki, Justin Timberlake, Matthew Bomer, Olivia Wilde, Ray Santiago, Toby Hemingway, Vincent Kartheiser",38660071.58
2308,"Otra familia, La",03/25/2011,Drama,"Andres Almeida, Bruno Loza, Carmen Salinas, Luis R. Guzman, Ricardo Kleinbaum",37739152.25
2316,Des vents contraires,11/15/2013,Drama,"Antoine Dulery, Audrey Tautou, BenoÃ®t Magimel, Isabelle Carre, Jean-Paul Rouve, Ramzy Bedia",336207.0
2317,Wrath Of The Titans,03/30/2012,Action,"Bill Nighy, Danny Huston, Edgar Ramirez, Liam Neeson, Ralph Fiennes, Rosamund Pike, Sam Worthington, Toby Kebbell",230072460.79
2320,"Lady, The",07/13/2012,Drama,"David Thewlis, Jonathan Raggett, Jonathan Woodhouse, Michelle Yeoh, Susan Wooldridge",6971383.98000001
2321,We Need to Talk About Kevin,01/13/2012,Suspense,"Ashley Gerasimovich, Ezra Miller, John C. Reilly, Lauren Fox, Siobhan Fallon, Tilda Swinton, Ursula Parker",5642580.73
2326,Dormir al sol (Asleep in the Sun),06/28/2013,Fantasy,"Carlos Belloso, Esther Goris, Florencia Pena, Hector Diaz, Luis Machin",30414.0
