,Title,Release.Date,Primary.Genre,Actors,acum_real
109,"Longest Yard, The",06/03/2005,Comedy,"Adam Sandler, Burt Reynolds, Chris Rock, Ed Lauter, James Cromwell, Nelly, Nicholas Turturro, Rob Schneider, Tracy Morgan",29467008.9999992
110,Stealth,07/29/2005,Action,"David Andrews, Jamie Foxx, Jessica Biel, Joe Morton, Josh Lucas, Richard Roxburgh, Sam Shepard, Wentworth Miller",22859152.0
112,Mindhunters,06/24/2005,Suspense,"Cassandra Bell, Christian Slater, Clifton Collins Jr., Eion Bailey, Jonny Lee Miller, Kathryn Morris, L.L. Cool J., Patricia Velasquez, Val Kilmer, Will Kemp",17104232.9999996
121,Elektra,01/21/2005,Action,"Goran Visnjic, Jennifer Garner, Joe Pantoliano, Kirstin Prout, Terence Stamp",26761063.9999979
122,"Ringer, The",06/23/2006,Comedy,"Bill Chott, Edward Barbanell, Johnny Knoxville, Katherine Heigl",2081253.0
124,Hide And Seek (2005),02/11/2005,Horror,"Amy Irving, Dakota Fanning, Dylan Baker, Elisabeth Shue, Famke Janssen, Melissa Leo, Robert De Niro, Robert John Burke",75523202.000001
126,What the Bleep Do We Know!?,08/05/2005,Documentary,"Armin Shimerman, Barry Newman, Elaine Hendrix, John Ross Bowie, Marlee Matlin, Robert Bailey Jr.",9197162.0
127,In My Country,10/28/2005,Drama,"Brendan Gleeson, Juliette Binoche, Menzi 'Ngubs' Ngubane, Samuel L. Jackson",342632.0
128,Touch Of Pink,02/04/2005,Romantic Comedy,"Jimi Mistry, Kristen Holden-Ried, Kyle MacLachlan",391407.999999815
131,Ray (2004),02/04/2005,Drama,"Aunjanue Ellis, Bokeem Woodbine, Chris Thomas King, Clifton Powell, Curtis Armstrong, David Krumholtz, Denise Dowse, Harry Lennix, Jamie Foxx, Kerry Washington, Larenz Tate, Patrick Bauchau, Regina King, Richard Schiff, Rick Gomez, Sharon Warren, Terrence Howard, Thomas Jefferson Byrd, Warwick Davis, Wendell Pierce",3126603.00000016
132,White Noise,03/04/2005,Horror,"Chandra West, Deborah Kara Unger, Ian McNeice, Michael Keaton, Mike Dopud, Nicholas Elia, Sarah Strange",55979293.0
135,Assault On Precinct 13,04/01/2005,Drama,"Brian Dennehy, Drea de Matteo, Ethan Hawke, Gabriel Byrne, Ja Rule, John Leguizamo, Laurence Fishburne, Maria Bello",9231486.00000057
136,In Her Shoes,12/02/2005,Comedy,"Cameron Diaz, Mark Feuerstein, Shirley MacLaine, Toni Collette",25390852.0
137,Mr. & Mrs. Smith,06/09/2005,Adventure,"Adam Brody, Angela Bassett, Angelina Jolie, Brad Pitt, Keith David, Stephanie March, Vince Vaughn",113789809.0
138,"Machinist, The",03/04/2005,Suspense,"Aitana SÃ¡nchez-GijÃ³n, Christian Bale, Jennifer Jason Leigh, John Sharian, Larry Gilliard Jr., Michael Ironside",1721492.99999957
139,Kicking And Screaming,09/09/2005,Comedy,"Josh Hutcherson, Kate Walsh, Rachael Harris, Robert Duvall, Will Ferrell",3307922.0
140,X-Men: The Last Stand,05/26/2006,Action,"Alexis Ferris, Anna Paquin, Ben Foster, Ellen Page, Famke Janssen, Halle Berry, Hugh Jackman, Ian McKellen, James Marsden, Kelsey Grammer, Patrick Stewart, Stan Lee",184336744.5
141,Spider-Man 3,05/04/2007,Action,"Bruce Campbell, Bryce Dallas Howard, Daniel Gillies, Elizabeth Banks, James Cromwell, James Franco, J.K. Simmons, Kirsten Dunst, Rosemary Harris, Stan Lee, Ted Raimi, Thomas Haden Church, Tobey Maguire, Topher Grace, Willem Dafoe",381085876.50000095
142,Miss Congeniality 2: Armed & Fabulous,04/15/2005,Comedy,"Eileen Brennan, Enrique Murciano, Ernie Hudson, Nick Offerman, Regina King, Sandra Bullock, Stephen Tobolowsky, Treat Williams, William Shatner",36569852.000001095
143,Batman Begins,06/15/2005,Action,"Christian Bale, Cillian Murphy, Gary Oldman, Katie Holmes, Ken Watanabe, Liam Neeson, Michael Caine, Morgan Freeman, Rutger Hauer, Tamer Hassan",124279006.000001
144,Charlie And The Chocolate Factory,07/29/2005,Adventure,"AnnaSophia Robb, Christopher Lee, David Kelly, Deep Roy, Freddie Highmore, Helena Bonham Carter, James Fox, Johnny Depp, Jordan Fry, Missi Pyle, Noah Taylor",68306514.0000001
145,Everything Is Illuminated,11/04/2005,Adventure,"Boris Leskin, Elijah Wood, Eugene Hutz",1019879.0
147,"Geschichte vom weinenden Kamel, Die",06/23/2006,Documentary,,940628.0
